time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,281.25,291.3,291.3,285.0,285.0,3.75,10000,10000,0.0,0.0,0.0,0.0,0,0.0
1770026400,290.2,286.9,295.0,286.9,294.95,4.75,10000,8000,0.0,0.0,0.0,0.0,0,9.95
1770112800,297.4,294.95,303.0,294.0,301.85,4.45,32000,30000,0.0,0.0,220.0,220.0,22,6.9
1770199200,298.5,304.0,307.0,301.25,303.1,4.6,45000,20000,0.0,0.0,40.62,40.62,13,1.25
1770285600,298.85,304.55,304.55,304.55,304.55,5.7,44000,1000,0.0,0.0,-2.22,-2.22,-1,1.45
1770372000,295.85,300.0,300.0,298.3,299.3,3.45,41000,8000,0.0,0.0,-6.82,-6.82,-3,-5.25
1770631200,300,302.0,302.0,302.0,302.0,2.0,41000,1000,0.0,0.0,0.0,0.0,0,2.7
1770717600,303.7,305.0,308.1,305.0,308.0,4.3,37000,10000,0.0,0.0,-9.76,-9.76,-4,6.0
1770804000,303.9,308.0,308.0,306.0,306.0,2.1,38000,2000,0.0,0.0,2.7,2.7,1,-2.0
1770890400,297.15,306.4,306.4,301.1,302.0,4.85,36000,7000,0.0,0.0,-5.26,-5.26,-2,-4.0
1770976800,290.4,296.0,296.0,290.3,294.9,4.5,40000,16000,0.0,0.0,11.11,11.11,4,-7.1
1771236000,294.7,291.9,298.35,291.9,297.65,2.95,39000,17000,0.0,0.0,-2.5,-2.5,-1,2.75
1771322400,296.65,299.3,300.1,299.3,300.1,3.45,39000,12000,0.0,0.0,0.0,0.0,0,2.45
1771408800,304,301.95,312.25,301.15,307.9,3.9,50000,30000,0.0,0.0,28.21,28.21,11,7.8
1771495200,301.8,307.3,309.45,305.0,305.15,3.35,60000,21000,0.0,0.0,20.0,20.0,10,-2.75
1771581600,306.65,308.6,310.6,308.6,310.2,3.55,67000,14000,0.0,0.0,11.67,11.67,7,5.05
1772445600,308.65,321.5,324.3,310.15,312.15,3.5,1832000,342000,0.0,0.0,2634.33,2634.33,1765,1.95
1772618400,280,293.6,294.2,274.55,281.75,1.75,2027000,3993000,0.0,0.0,10.64,10.64,195,-30.4
1772704800,293.05,280.85,296.2,280.45,294.15,1.1,1964000,749000,0.0,0.0,-3.11,-3.11,-63,12.4
1772791200,290.4,291.0,298.5,290.05,291.4,1.0,1975000,465000,0.0,0.0,0.56,0.56,11,-2.75
1773050400,278.55,284.0,289.5,276.75,281.75,3.2,3207000,1829000,0.0,0.0,62.38,62.38,1232,-9.65
1773136800,290.1,287.65,294.0,287.65,292.3,2.2,3156000,429000,0.0,0.0,-1.59,-1.59,-51,10.55
1773223200,289.65,294.45,298.5,290.7,291.65,2.0,3200000,159000,0.0,0.0,1.39,1.39,44,-0.65
1773309600,296.7,291.65,303.0,291.5,298.4,1.7,3192000,296000,0.0,0.0,-0.25,-0.25,-8,6.75
1773396000,286.3,295.0,295.85,286.85,288.6,2.3,3184000,203000,0.0,0.0,-0.25,-0.25,-8,-9.8
1773655200,283.35,286.85,289.65,283.0,285.7,2.35,3241000,257000,0.0,0.0,1.79,1.79,57,-2.9
1773741600,287.7,285.05,289.55,283.65,288.55,0.85,3259000,206000,0.0,0.0,0.56,0.56,18,2.85
