time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,151.73,153.0,155.76,153.0,155.76,4.03,33000,5000,0.0,0.0,0.0,0.0,0,0.0
1770026400,155.06,152.15,154.61,149.83,154.61,-0.45,36000,7000,0.0,0.0,9.09,9.09,3,-1.15
1770112800,161.23,163.44,163.44,159.3,159.3,-1.93,43000,28000,0.0,0.0,19.44,19.44,7,4.69
1770199200,162.16,160.2,161.14,159.3,161.03,-1.13,41000,14000,0.0,0.0,-4.65,-4.65,-2,1.73
1770285600,158.6,158.2,158.2,156.36,157.82,-0.78,76000,43000,0.0,0.0,85.37,85.37,35,-3.21
1770372000,158.75,155.0,157.08,154.9,157.08,-1.67,81000,7000,0.0,0.0,6.58,6.58,5,-0.74
1770631200,162.84,160.0,162.82,160.0,162.5,-0.34,102000,49000,0.0,0.0,25.93,25.93,21,5.42
1770717600,163.42,163.4,163.57,159.93,161.27,-2.15,119000,76000,0.0,0.0,16.67,16.67,17,-1.23
1770804000,164.36,160.0,162.68,160.0,162.34,-2.02,130000,17000,0.0,0.0,9.24,9.24,11,1.07
1770890400,163.31,159.35,162.42,159.35,161.0,-2.31,140000,21000,0.0,0.0,7.69,7.69,10,-1.34
1770976800,165.95,161.0,163.88,156.69,162.64,-3.31,143000,26000,0.0,0.0,2.14,2.14,3,1.64
1771236000,164.05,163.73,165.5,162.33,162.98,-1.07,149000,19000,0.0,0.0,4.2,4.2,6,0.34
1771322400,164.66,161.45,164.13,161.45,163.32,-1.34,168000,37000,0.0,0.0,12.75,12.75,19,0.34
1771408800,166.04,163.71,164.75,162.88,164.63,-1.41,172000,18000,0.0,0.0,2.38,2.38,4,1.31
1771495200,163.05,164.05,165.44,160.8,160.76,-2.29,190000,31000,0.0,0.0,10.47,10.47,18,-3.87
1771581600,160.53,160.76,161.88,157.56,158.28,-2.25,246000,85000,0.0,0.0,29.47,29.47,56,-2.48
1772445600,152.81,151.93,154.73,150.63,152.96,0.15,522000,77000,0.0,0.0,112.2,112.2,276,-5.32
1772618400,152.31,150.09,153.72,149.85,152.13,-0.18,538000,129000,0.0,0.0,3.07,3.07,16,-0.83
1772704800,153.3,153.4,154.34,150.74,153.06,-0.24,548000,225000,0.0,0.0,1.86,1.86,10,0.93
1772791200,151.87,153.33,153.63,151.33,151.5,-0.37,563000,90000,0.0,0.0,2.74,2.74,15,-1.56
1773050400,151.4,149.46,151.35,146.98,151.22,-0.18,572000,91000,0.0,0.0,1.6,1.6,9,-0.28
1773136800,155.37,152.8,155.74,151.51,155.22,-0.15,571000,115000,0.0,0.0,-0.17,-0.17,-1,4.0
1773223200,155.42,155.57,159.94,154.89,155.17,-0.25,583000,130000,0.0,0.0,2.1,2.1,12,-0.05
1773309600,145.54,152.0,152.0,144.9,145.45,-0.09,680000,323000,0.0,0.0,16.64,16.64,97,-9.72
1773396000,139.81,143.0,144.42,138.73,139.23,-0.58,739000,180000,0.0,0.0,8.68,8.68,59,-6.22
1773655200,138.72,140.5,141.06,134.47,138.39,-0.33,802000,248000,0.0,0.0,8.53,8.53,63,-0.84
1773741600,139.05,138.4,140.16,137.94,139.15,0.1,908000,236000,0.0,0.0,13.22,13.22,106,0.76
