time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,314.35,311.1,320.9,301.0,311.45,-2.9,33000,30000,0.0,0.0,0.0,0.0,0,0.0
1770026400,306.4,307.7,310.0,302.25,305.75,-0.65,64000,60000,0.0,0.0,93.94,93.94,31,-5.7
1770112800,317.75,321.2,321.2,312.3,314.85,-2.9,77000,34000,0.0,0.0,20.31,20.31,13,9.1
1770199200,321.1,312.1,320.95,311.1,320.3,-0.8,75000,22000,0.0,0.0,-2.6,-2.6,-2,5.45
1770285600,321.45,317.5,321.4,312.5,319.0,-2.45,77000,21000,0.0,0.0,2.67,2.67,2,-1.3
1770372000,320,318.6,318.6,311.6,315.2,-4.8,80000,11000,0.0,0.0,3.9,3.9,3,-3.8
1770631200,333.7,320.7,331.65,318.6,331.35,-2.35,73000,23000,0.0,0.0,-8.75,-8.75,-7,16.15
1770717600,355.75,331.7,352.0,331.7,350.55,-5.2,107000,133000,0.0,0.0,46.58,46.58,34,19.2
1770804000,342.3,347.0,347.0,336.6,338.6,-3.7,120000,28000,0.0,0.0,12.15,12.15,13,-11.95
1770890400,337.35,327.8,333.95,326.4,333.95,-3.4,129000,12000,0.0,0.0,7.5,7.5,9,-4.65
1770976800,337.65,330.9,334.0,324.8,331.65,-6.0,130000,14000,0.0,0.0,0.78,0.78,1,-2.3
1771236000,342,331.65,337.7,331.65,337.7,-4.3,129000,12000,0.0,0.0,-0.77,-0.77,-1,6.05
1771322400,330.7,329.0,329.05,325.5,326.35,-4.35,148000,24000,0.0,0.0,14.73,14.73,19,-11.35
1771408800,333.95,331.0,331.0,326.0,329.0,-4.95,174000,33000,0.0,0.0,17.57,17.57,26,2.65
1771495200,326.65,328.45,331.95,321.55,321.85,-4.8,230000,93000,0.0,0.0,32.18,32.18,56,-7.15
1771581600,323.8,321.85,322.35,318.9,319.15,-4.65,244000,45000,0.0,0.0,6.09,6.09,14,-2.7
1772445600,289,291.0,293.5,282.75,287.05,-1.95,530000,319000,0.0,0.0,117.21,117.21,286,-32.1
1772618400,297.75,284.8,294.35,284.8,291.3,-6.45,534000,367000,0.0,0.0,0.75,0.75,4,4.25
1772704800,298.4,292.85,297.2,283.2,295.65,-2.75,549000,248000,0.0,0.0,2.81,2.81,15,4.35
1772791200,301.5,294.3,300.0,294.3,296.7,-4.8,816000,418000,0.0,0.0,48.63,48.63,267,1.05
1773050400,301.25,288.65,299.9,286.75,298.9,-2.35,903000,259000,0.0,0.0,10.66,10.66,87,2.2
1773136800,294.65,302.05,302.15,290.7,291.45,-3.2,1568000,949000,0.0,0.0,73.64,73.64,665,-7.45
1773223200,284.6,288.15,293.5,281.0,281.85,-2.75,1850000,563000,0.0,0.0,17.98,17.98,282,-9.6
1773309600,280.9,277.3,282.55,268.2,278.6,-2.3,3639000,2120000,0.0,0.0,96.7,96.7,1789,-3.25
1773396000,282.15,281.05,283.2,277.05,279.0,-3.15,3844000,513000,0.0,0.0,5.63,5.63,205,0.4
1773655200,284.6,278.2,282.3,272.0,280.3,-4.3,4198000,713000,0.0,0.0,9.21,9.21,354,1.3
1773741600,292.85,279.95,292.5,279.7,289.15,-3.7,4485000,753000,0.0,0.0,6.84,6.84,287,8.85
