time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,344.65,352.55,364.0,345.0,348.0,3.35,310000,322000,0.0,0.0,0.0,0.0,0,0.0
1770026400,362.9,346.3,368.45,346.3,367.35,4.45,370000,446000,0.0,0.0,19.35,19.35,60,19.35
1770112800,372.05,374.85,381.9,371.0,376.35,4.3,501000,488000,0.0,0.0,35.41,35.41,131,9.0
1770199200,375.45,372.5,381.55,372.5,380.6,5.15,524000,268000,0.0,0.0,4.59,4.59,23,4.25
1770285600,374.15,378.85,380.5,369.25,379.7,5.55,606000,516000,0.0,0.0,15.65,15.65,82,-0.9
1770372000,369.5,369.15,386.0,366.35,374.65,5.15,922000,713000,0.0,0.0,52.15,52.15,316,-5.05
1770631200,377.4,375.0,384.25,374.65,382.3,4.9,903000,371000,0.0,0.0,-2.06,-2.06,-19,7.65
1770717600,379.35,382.9,387.0,381.8,382.9,3.55,949000,339000,0.0,0.0,5.09,5.09,46,0.6
1770804000,384.7,387.05,391.95,387.05,389.25,4.55,973000,346000,0.0,0.0,2.53,2.53,24,6.35
1770890400,383.45,389.25,391.7,385.0,388.15,4.7,965000,338000,0.0,0.0,-0.82,-0.82,-8,-1.1
1770976800,380.25,386.35,391.5,379.0,384.6,4.35,970000,487000,0.0,0.0,0.52,0.52,5,-3.55
1771236000,377.25,383.75,383.85,380.0,382.25,5.0,1054000,201000,0.0,0.0,8.66,8.66,84,-2.35
1771322400,382.85,380.5,387.9,380.0,387.25,4.4,1111000,230000,0.0,0.0,5.41,5.41,57,5.0
1771408800,382.85,387.6,389.5,384.0,387.8,4.95,1237000,252000,0.0,0.0,11.34,11.34,126,0.55
1771495200,375.7,387.95,391.5,378.95,380.2,4.5,1422000,556000,0.0,0.0,14.96,14.96,185,-7.6
1771581600,378,381.9,383.8,379.2,382.75,4.75,1600000,342000,0.0,0.0,12.52,12.52,178,2.55
1772445600,370.6,367.85,382.75,367.8,375.0,4.4,3003000,1808000,0.0,0.0,87.69,87.69,1403,-7.75
1772618400,351.2,367.0,368.2,353.9,354.6,3.4,3759000,2395000,0.0,0.0,25.17,25.17,756,-20.4
1772704800,355.15,358.0,360.65,351.1,358.8,3.65,4219000,2296000,0.0,0.0,12.24,12.24,460,4.2
1772791200,350.75,356.35,357.95,353.1,353.95,3.2,4583000,1442000,0.0,0.0,8.63,8.63,364,-4.85
1773050400,332,344.55,344.7,331.4,335.4,3.4,4746000,3092000,0.0,0.0,3.56,3.56,163,-18.55
1773136800,345.2,339.2,348.7,337.0,348.05,2.85,5123000,2184000,0.0,0.0,7.94,7.94,377,12.65
1773223200,335.35,349.0,349.8,338.0,338.55,3.2,5565000,1600000,0.0,0.0,8.63,8.63,442,-9.5
1773309600,324.55,335.65,335.65,326.2,327.4,2.85,6095000,3209000,0.0,0.0,9.52,9.52,530,-11.15
1773396000,314.1,325.5,326.2,310.8,316.2,2.1,7111000,4307000,0.0,0.0,16.67,16.67,1016,-11.2
1773655200,314.4,314.65,319.1,308.9,316.0,1.6,7971000,4602000,0.0,0.0,12.09,12.09,860,-0.2
1773741600,319.2,317.1,323.5,315.0,321.95,2.75,8743000,3363000,0.0,0.0,9.69,9.69,772,5.95
