time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,5437,5565.5,5620.0,5250.0,5448.0,11.0,17279000,7647000,0.0,0.0,0.0,0.0,0,0.0
1770026400,5468,5540.0,5549.5,5380.0,5470.5,2.5,17277000,4344000,0.0,0.0,-0.01,-0.01,-2,22.5
1770112800,5668.5,5640.0,5773.0,5595.0,5656.5,-12.0,17590000,6890000,0.0,0.0,1.81,1.81,313,186.0
1770199200,5755,5656.5,5850.5,5600.5,5766.5,11.5,17384000,5511000,0.0,0.0,-1.17,-1.17,-206,110.0
1770285600,5770,5760.0,5833.5,5656.0,5780.5,10.5,16769000,5009000,0.0,0.0,-3.54,-3.54,-615,14.0
1770372000,5816,5750.0,5838.5,5722.5,5817.0,1.0,16091000,4520000,0.0,0.0,-4.04,-4.04,-678,36.5
1770631200,5815.5,5852.0,5868.5,5745.5,5831.5,16.0,15972000,1981000,0.0,0.0,-0.74,-0.74,-119,14.5
1770717600,5870,5835.0,5894.0,5806.0,5881.0,11.0,15577000,2503000,0.0,0.0,-2.47,-2.47,-395,49.5
1770804000,5825.5,5851.5,5872.0,5790.0,5826.5,1.0,15329000,2011000,0.0,0.0,-1.59,-1.59,-248,-54.5
1770890400,5788.5,5780.5,5859.5,5767.0,5804.0,15.5,14770000,2208000,0.0,0.0,-3.65,-3.65,-559,-22.5
1770976800,5780.5,5765.5,5854.0,5726.0,5773.5,-7.0,14710000,2644000,0.0,0.0,-0.41,-0.41,-60,-30.5
1771236000,5888,5821.0,5908.5,5742.0,5898.5,10.5,14825000,2858000,0.0,0.0,0.78,0.78,115,125.0
1771322400,5836,5876.5,5944.5,5804.0,5830.5,-5.5,15002000,2791000,0.0,0.0,1.19,1.19,177,-68.0
1771408800,5881.5,5820.5,5919.0,5765.0,5894.0,12.5,14696000,3233000,0.0,0.0,-2.04,-2.04,-306,63.5
1771495200,5719.5,5875.0,5914.0,5689.0,5717.5,-2.0,9487000,9457000,0.0,0.0,-35.45,-35.45,-5209,-176.5
1771581600,5987,5725.0,6256.0,5720.0,5995.5,8.5,5416000,26632000,0.0,0.0,-42.91,-42.91,-4071,278.0
