time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1767952800,2153.7,2214.7,2218.6,2146.5,2156.4,2.7,20273799,3479031,0,0,0,0.0,0,2156.4
1768212000,2171.6,2151,2186.1,2121.7,2180,8.4,19846452,3158289,0,0,-2.11,-2.11,-427347,23.6
1768298400,2158.5,2185,2188.6,2143.5,2159.5,1.0,19621809,1716186,0,0,-1.13,-1.13,-224643,-20.5
1768384800,2153.3,2151.7,2170.4,2145.1,2155.6,2.3,19472871,1306761,0,0,-0.76,-0.76,-148938,-3.9
1768557600,2157.3,2163,2195.8,2156.7,2160.4,3.1,19059738,2142915,0,0,-2.12,-2.12,-413133,4.8
1768816800,2134.6,2143.8,2155.6,2123.5,2134.2,-0.4,17985345,2963001,0,0,-5.64,-5.64,-1074393,-26.2
1768903200,2055.1,2132.1,2138.9,2039,2052.6,-2.5,16762632,3871461,0,0,-6.8,-6.8,-1222713,-81.6
1768989600,2032.2,2051,2067.1,2002.7,2035.1,2.9,13411218,5609277,0,0,-19.99,-19.99,-3351414,-17.5
1769076000,2086.4,2050,2102,2050,2087.2,0.8,9905922,5583321,0,0,-26.14,-26.14,-3505296,52.1
1769162400,1864.2,2087.2,2087.2,1844.8,1859.3,-4.9,5499273,12308397,0,0,-44.48,-44.48,-4406649,-227.9
1769508000,1959.5,1900,1975,1890,1956.3,-3.2,1803015,8640567,0,0,-67.21,-67.21,-3696258,97.0
1769594400,1994.7,1981.3,2014.6,1956.7,2004.4,9.7,19480287,2772966,0,0,980.43,980.43,17677272,48.1
1769680800,2019.2,2007.8,2037.8,1978.5,2029.1,9.9,19322079,2308848,0,0,-0.81,-0.81,-158208,24.7
1769767200,2020.4,2010,2045.3,1997.7,2022.9,2.5,19175922,2070300,0,0,-0.76,-0.76,-146157,-6.2
1769940000,1942.8,2019.3,2045,1918.1,1920,-22.8,19182411,2742066,0,0,0.03,0.03,6489,-102.9
1770026400,1995.4,1941.5,2006.1,1930.6,1999.3,3.9,18928722,2350254,0,0,-1.32,-1.32,-253689,79.3
1770112800,2202.6,2199.2,2242,2152.2,2213,10.4,18620958,10452234,0,0,-1.63,-1.63,-307764,213.7
1770199200,2228.2,2210,2254.3,2191.5,2235,6.8,18373449,3813060,0,0,-1.33,-1.33,-247509,22.0
1770285600,2236.6,2233.6,2248,2215.4,2241.8,5.2,18051780,2003556,0,0,-1.75,-1.75,-321669,6.8
1770372000,2226.4,2238,2246.9,2203.2,2228.8,2.4,17881830,1977291,0,0,-0.94,-0.94,-169950,-13.0
1770631200,2250.1,2254,2295,2252.2,2258.3,8.2,17836716,2426886,0,0,-0.25,-0.25,-45114,29.5
1770717600,2228.4,2255,2274.8,2175.1,2229.8,1.4,17559543,4343922,0,0,-1.55,-1.55,-277173,-28.5
1770804000,2234.4,2224,2242.9,2218.3,2236.7,2.3,17117364,1642953,0,0,-2.52,-2.52,-442179,6.9
1770890400,2211.8,2230.6,2233.8,2201.3,2213.1,1.3,16831230,1452918,0,0,-1.67,-1.67,-286134,-23.6
1770976800,2136.6,2203.5,2205,2127,2141.1,4.5,16251855,2949096,0,0,-3.44,-3.44,-579375,-72.0
