time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,5565,5665.5,5692.0,5467.0,5546.0,-19.0,9798000,522000,0.0,0.0,0.0,0.0,0,0.0
1770026400,5521.5,5560.5,5571.5,5390.5,5498.5,-23.0,9513000,1537000,0.0,0.0,-2.91,-2.91,-285,-47.5
1770112800,5702.5,5700.0,5722.0,5584.5,5687.5,-15.0,9764000,1476000,0.0,0.0,2.64,2.64,251,189.0
1770199200,5653.5,5646.5,5708.0,5620.0,5640.5,-13.0,9804000,737000,0.0,0.0,0.41,0.41,40,-47.0
1770285600,5662.5,5551.0,5689.5,5551.0,5652.0,-10.5,9951000,1097000,0.0,0.0,1.5,1.5,147,11.5
1770372000,5684,5642.5,5675.0,5544.5,5664.0,-20.0,9955000,1062000,0.0,0.0,0.04,0.04,4,12.0
1770631200,5750.5,5668.0,5779.5,5667.0,5734.5,-16.0,10143000,1733000,0.0,0.0,1.89,1.89,188,70.5
1770717600,5811.5,5745.5,5792.0,5706.5,5771.5,-40.0,10160000,1015000,0.0,0.0,0.17,0.17,17,37.0
1770804000,5890,5739.0,5896.5,5712.5,5851.5,-38.5,10422000,1861000,0.0,0.0,2.58,2.58,262,80.0
1770890400,5870.5,5850.0,5887.0,5776.0,5835.5,-35.0,10679000,2315000,0.0,0.0,2.47,2.47,257,-16.0
1770976800,5402.5,5787.5,5812.5,5285.0,5349.5,-53.0,9574000,8518000,0.0,0.0,-10.35,-10.35,-1105,-486.0
1771236000,5480.5,5400.0,5497.5,5350.0,5437.5,-43.0,9768000,3152000,0.0,0.0,2.03,2.03,194,88.0
1771322400,5456.5,5393.5,5434.0,5384.5,5412.0,-44.5,9876000,1131000,0.0,0.0,1.11,1.11,108,-25.5
1771408800,5464,5411.0,5436.0,5353.5,5414.0,-50.0,9525000,1583000,0.0,0.0,-3.55,-3.55,-351,2.0
1771495200,5377,5444.5,5444.5,5302.5,5347.0,-30.0,7202000,4741000,0.0,0.0,-24.39,-24.39,-2323,-67.0
1771581600,5392,5349.0,5390.0,5330.5,5380.0,-12.0,5210000,2712000,0.0,0.0,-27.66,-27.66,-1992,33.0
