time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,1463.8,1481.1,1499.1,1431.1,1461.7,-2.1,15926000,1878000,0.0,0.0,0.0,0.0,0,0.0
1770026400,1467.6,1448.9,1469.5,1421.9,1462.4,-5.2,15553000,2799000,0.0,0.0,-2.34,-2.34,-373,0.7
1770112800,1503.5,1494.0,1512.5,1476.6,1500.9,-2.6,15768000,3905000,0.0,0.0,1.38,1.38,215,38.5
1770199200,1501.4,1503.0,1515.4,1488.5,1506.7,5.3,16025000,2855000,0.0,0.0,1.63,1.63,257,5.8
1770285600,1503.6,1505.0,1522.4,1499.1,1508.1,4.5,15827000,2476000,0.0,0.0,-1.24,-1.24,-198,1.4
1770372000,1472.2,1495.0,1528.4,1442.9,1458.0,-14.2,16511000,6942000,0.0,0.0,4.32,4.32,684,-50.1
1770631200,1490.7,1468.0,1492.2,1449.3,1486.0,-4.7,17770000,5197000,0.0,0.0,7.63,7.63,1259,28.0
1770717600,1532.2,1485.6,1542.0,1484.2,1537.0,4.8,18940000,7530000,0.0,0.0,6.58,6.58,1170,51.0
1770804000,1592.1,1540.0,1597.0,1534.2,1591.2,-0.9,19299000,7793000,0.0,0.0,1.9,1.9,359,54.2
1770890400,1591.6,1581.7,1609.3,1572.6,1586.3,-5.3,18828000,5048000,0.0,0.0,-2.44,-2.44,-471,-4.9
1770976800,1596.5,1565.9,1590.4,1555.4,1578.5,-18.0,18923000,2540000,0.0,0.0,0.5,0.5,95,-7.8
1771236000,1639.8,1579.0,1618.0,1574.2,1606.8,-33.0,18931000,7253000,0.0,0.0,0.04,0.04,8,28.3
1771322400,1645.7,1604.0,1628.0,1594.3,1622.4,-23.3,19365000,3524000,0.0,0.0,2.29,2.29,434,15.6
1771408800,1636.6,1623.2,1623.2,1606.3,1618.7,-17.9,18899000,2810000,0.0,0.0,-2.41,-2.41,-466,-3.7
1771495200,1621,1602.6,1634.9,1602.6,1618.8,-2.2,11822000,10251000,0.0,0.0,-37.45,-37.45,-7077,0.1
1771581600,1636.6,1603.6,1644.9,1603.6,1635.3,-1.3,4210000,10874000,0.0,0.0,-64.39,-64.39,-7612,16.5
