time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1767952800,9562.5,9742.5,9845,9577,9599.5,37.0,3515325,475725,0,0,0,0.0,0,9599.5
1768212000,9491,9611,9615,9393,9535.5,44.5,3566775,554025,0,0,1.46,1.46,51450,-64.0
1768298400,9554,9554.5,9579.5,9467.5,9557,3,3615825,300600,0,0,1.38,1.38,49050,21.5
1768384800,9579.5,9521.5,9610,9502,9578,-1.5,3644700,348900,0,0,0.8,0.8,28875,21.0
1768557600,9489,9563,9640,9425,9506,17,3612450,532875,0,0,-0.88,-0.88,-32250,-72.0
1768816800,9429.5,9482.5,9510,9416,9450,20.5,3576375,370725,0,0,-1.0,-1.0,-36075,-56.0
1768903200,9180,9451,9463,9170.5,9195,15,3609600,363225,0,0,0.93,0.93,33225,-255.0
1768989600,9179,9199.5,9275,9088.5,9193,14,2288325,1985475,0,0,-36.6,-36.6,-1321275,-2.0
1769076000,9370,9260,9407,9187,9383,13,1027575,1691925,0,0,-55.09,-55.09,-1260750,190.0
1769162400,9413.5,9380.5,9568.5,9342.5,9414,0.5,384300,1007325,0,0,-62.6,-62.6,-643275,31.0
1769508000,9492,9472.5,9509.5,9329,9490.5,-1.5,155550,483750,0,0,-59.52,-59.52,-228750,76.5
1769594400,9433.5,9532.5,9568,9271.5,9459,25.5,3236700,617925,0,0,1980.81,1980.81,3081150,-31.5
1769680800,9512,9510.5,9548,9384,9521,9,3318750,534075,0,0,2.53,2.53,82050,62.0
1769767200,9597.5,9453.5,9647,9393,9628,30.5,3268500,539550,0,0,-1.51,-1.51,-50250,107.0
1769940000,9499.5,9945,9945,9204,9519.5,20.0,3442425,1083075,0,0,5.32,5.32,173925,-108.5
