time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,368.2,368.3,378.0,362.45,368.65,0.45,15888000,5949000,0.0,0.0,0.0,0.0,0,0.0
1770026400,370.15,367.9,372.75,361.15,370.85,0.7,15664000,3576000,0.0,0.0,-1.41,-1.41,-224,2.2
1770112800,372.3,382.0,388.35,372.6,373.85,1.55,16120000,5566000,0.0,0.0,2.91,2.91,456,3.0
1770199200,368.55,372.8,377.8,366.9,369.55,1.0,16706000,4066000,0.0,0.0,3.64,3.64,586,-4.3
1770285600,367.8,367.5,369.4,363.8,368.75,0.95,16639000,2144000,0.0,0.0,-0.4,-0.4,-67,-0.8
1770372000,365.4,366.3,366.9,362.2,366.55,1.15,16482000,2102000,0.0,0.0,-0.94,-0.94,-157,-2.2
1770631200,373.95,368.9,376.45,367.75,373.75,-0.2,17043000,3844000,0.0,0.0,3.4,3.4,561,7.2
1770717600,371.05,373.0,376.2,367.15,372.0,0.95,17177000,3434000,0.0,0.0,0.79,0.79,134,-1.75
1770804000,375.2,372.0,377.45,368.4,376.2,1.0,17446000,3508000,0.0,0.0,1.57,1.57,269,4.2
1770890400,375.05,377.0,389.4,372.1,376.45,1.4,17995000,9393000,0.0,0.0,3.15,3.15,549,0.25
1770976800,377.95,373.6,382.5,369.65,378.7,0.75,17520000,6471000,0.0,0.0,-2.64,-2.64,-475,2.25
1771236000,380.35,379.6,384.9,375.1,380.55,0.2,17600000,3297000,0.0,0.0,0.46,0.46,80,1.85
1771322400,379.35,380.0,381.4,377.0,379.2,-0.15,17498000,1654000,0.0,0.0,-0.58,-0.58,-102,-1.35
1771408800,378.95,379.5,382.7,376.0,379.5,0.55,16147000,3046000,0.0,0.0,-7.72,-7.72,-1351,0.3
1771495200,382.65,380.75,386.7,377.6,381.35,-1.3,13044000,7311000,0.0,0.0,-19.22,-19.22,-3103,1.85
1771581600,383.95,381.8,388.35,380.4,383.6,-0.35,8662000,6771000,0.0,0.0,-33.59,-33.59,-4382,2.25
