time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,1793.4,1812.7,1826.9,1774.3,1787.2,-6.2,7706000,956000,0.0,0.0,0.0,0.0,0,0.0
1770026400,1838.2,1787.5,1854.5,1762.8,1845.3,7.1,7485000,2278000,0.0,0.0,-2.87,-2.87,-221,58.1
1770112800,1817.8,1901.0,1941.6,1796.5,1810.5,-7.3,6959000,3925000,0.0,0.0,-7.03,-7.03,-526,-34.8
1770199200,1880.2,1808.0,1898.0,1800.8,1887.7,7.5,6996000,3538000,0.0,0.0,0.53,0.53,37,77.2
1770285600,1862,1891.5,1891.5,1843.3,1860.6,-1.4,7122000,1835000,0.0,0.0,1.8,1.8,126,-27.1
1770372000,1880.9,1860.0,1885.9,1832.9,1879.5,-1.4,7405000,1993000,0.0,0.0,3.97,3.97,283,18.9
1770631200,1937,1900.9,1955.7,1889.0,1944.6,7.6,7717000,3906000,0.0,0.0,4.21,4.21,312,65.1
1770717600,1948.3,1969.0,2003.1,1941.8,1956.8,8.5,8285000,4200000,0.0,0.0,7.36,7.36,568,12.2
1770804000,1962.2,1969.5,1973.3,1940.1,1968.1,5.9,8261000,1279000,0.0,0.0,-0.29,-0.29,-24,11.3
1770890400,1974,1974.8,1996.3,1951.4,1981.5,7.5,8339000,2152000,0.0,0.0,0.94,0.94,78,13.4
1770976800,1997.2,1976.9,2019.7,1956.5,2001.3,4.1,8386000,2246000,0.0,0.0,0.56,0.56,47,19.8
1771236000,1975.4,2019.0,2019.0,1964.1,1981.6,6.2,8429000,1328000,0.0,0.0,0.51,0.51,43,-19.7
1771322400,2002.4,1998.3,2007.9,1979.1,2003.3,0.9,8336000,1048000,0.0,0.0,-1.1,-1.1,-93,21.7
1771408800,2016.7,1998.1,2031.8,1972.5,2020.5,3.8,8476000,2697000,0.0,0.0,1.68,1.68,140,17.2
1771495200,1969.1,2014.2,2020.0,1958.6,1967.8,-1.3,6098000,3838000,0.0,0.0,-28.06,-28.06,-2378,-52.7
1771581600,1968.4,1959.5,1982.1,1954.9,1968.5,0.1,4010000,4362000,0.0,0.0,-34.24,-34.24,-2088,0.7
