time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,505.35,500.9,522.0,478.55,504.2,-1.15,24999000,8610000,0.0,0.0,0.0,0.0,0,0.0
1770026400,507.85,504.5,511.6,495.2,507.0,-0.85,25208000,3596000,0.0,0.0,0.84,0.84,209,2.8
1770112800,527.9,532.0,538.25,518.25,526.55,-1.35,25232000,5707000,0.0,0.0,0.1,0.1,24,19.55
1770199200,527.15,524.85,527.9,519.05,525.05,-2.1,24864000,3170000,0.0,0.0,-1.46,-1.46,-368,-1.5
1770285600,522.05,522.7,524.85,517.0,521.35,-0.7,25271000,2678000,0.0,0.0,1.64,1.64,407,-3.7
1770372000,509.5,517.2,518.35,503.65,508.35,-1.15,25778000,2847000,0.0,0.0,2.01,2.01,507,-13.0
1770631200,513.6,515.6,517.6,509.2,514.45,0.85,25737000,2006000,0.0,0.0,-0.16,-0.16,-41,6.1
1770717600,513.6,513.85,523.0,513.85,515.55,1.95,25938000,2630000,0.0,0.0,0.78,0.78,201,1.1
1770804000,515.15,517.1,518.25,511.2,515.8,0.65,25913000,1561000,0.0,0.0,-0.1,-0.1,-25,0.25
1770890400,506.85,513.85,514.3,504.6,508.6,1.75,25981000,1385000,0.0,0.0,0.26,0.26,68,-7.2
1770976800,498.3,501.2,504.9,497.25,498.5,0.2,25928000,1743000,0.0,0.0,-0.2,-0.2,-53,-10.1
1771236000,503.75,494.5,505.5,494.45,504.95,1.2,25546000,1402000,0.0,0.0,-1.47,-1.47,-382,6.45
1771322400,505.5,506.0,511.95,502.05,505.9,0.4,24989000,1721000,0.0,0.0,-2.18,-2.18,-557,0.95
1771408800,506.55,503.0,508.9,501.95,507.25,0.7,23816000,2486000,0.0,0.0,-4.69,-4.69,-1173,1.35
1771495200,505.75,506.0,508.75,500.4,504.3,-1.45,18394000,7012000,0.0,0.0,-22.77,-22.77,-5422,-2.95
1771581600,503,500.0,506.3,500.0,502.9,-0.1,11874000,7473000,0.0,0.0,-35.45,-35.45,-6520,-1.4
