time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,436.8,436.0,452.0,416.1,438.05,1.25,13311000,8788000,0.0,0.0,0.0,0.0,0,0.0
1770026400,439.9,439.0,451.0,433.8,442.0,2.1,11789000,7741000,0.0,0.0,-11.43,-11.43,-1522,3.95
1770112800,443.25,452.0,460.8,441.65,445.25,2.0,11249000,4236000,0.0,0.0,-4.58,-4.58,-540,3.25
1770199200,448.3,447.1,451.65,442.5,449.8,1.5,11237000,1764000,0.0,0.0,-0.11,-0.11,-12,4.55
1770285600,444.1,448.2,448.65,439.2,445.75,1.65,10949000,1309000,0.0,0.0,-2.56,-2.56,-288,-4.05
1770372000,436.1,443.15,445.45,430.85,437.05,0.95,10639000,1674000,0.0,0.0,-2.83,-2.83,-310,-8.7
1770631200,433.75,438.5,439.6,432.75,435.3,1.55,10547000,1563000,0.0,0.0,-0.86,-0.86,-92,-1.75
1770717600,435.95,437.7,444.8,429.05,436.75,0.8,11170000,3338000,0.0,0.0,5.91,5.91,623,1.45
1770804000,429.5,435.5,435.5,425.35,430.15,0.65,11529000,2545000,0.0,0.0,3.21,3.21,359,-6.6
1770890400,429.55,428.5,432.5,423.55,430.65,1.1,11644000,1379000,0.0,0.0,1.0,1.0,115,0.5
1770976800,420.55,426.1,428.05,414.45,421.6,1.05,11934000,1768000,0.0,0.0,2.49,2.49,290,-9.05
1771236000,418.1,420.0,422.75,416.4,419.6,1.5,11885000,1735000,0.0,0.0,-0.41,-0.41,-49,-2.0
1771322400,434.85,420.0,435.8,419.9,434.75,-0.1,11681000,2590000,0.0,0.0,-1.72,-1.72,-204,15.15
1771408800,432.2,436.0,438.45,430.25,432.9,0.7,11443000,1505000,0.0,0.0,-2.04,-2.04,-238,-1.85
1771495200,427.9,432.65,436.5,426.2,427.35,-0.55,8637000,3998000,0.0,0.0,-24.52,-24.52,-2806,-5.55
1771581600,430.95,429.4,433.25,425.35,430.65,-0.3,5037000,4641000,0.0,0.0,-41.68,-41.68,-3600,3.3
