time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,1940,2002.0,2004.5,1937.1,1947.8,7.8,30308000,4138000,0.0,0.0,0.0,0.0,0,0.0
1770026400,1920.4,1942.7,1967.8,1844.6,1928.7,8.3,31139000,8503000,0.0,0.0,2.74,2.74,831,-19.1
1770112800,1954.2,1994.8,2013.3,1953.4,1960.3,6.1,30317000,4228000,0.0,0.0,-2.64,-2.64,-822,31.6
1770199200,1959.3,1968.7,1995.5,1948.3,1966.2,6.9,30149000,2512000,0.0,0.0,-0.55,-0.55,-168,5.9
1770285600,1969.3,1968.9,1980.0,1929.1,1971.0,1.7,29917000,2999000,0.0,0.0,-0.77,-0.77,-232,4.8
1770372000,1934.8,1969.0,1969.0,1912.7,1937.3,2.5,30152000,2880000,0.0,0.0,0.79,0.79,235,-33.7
1770631200,1974.4,1952.7,1987.2,1947.7,1981.8,7.4,30132000,2372000,0.0,0.0,-0.07,-0.07,-20,44.5
1770717600,1958,1989.8,1997.0,1959.8,1963.6,5.6,30426000,1764000,0.0,0.0,0.98,0.98,294,-18.2
1770804000,2015.2,1952.7,2021.3,1947.7,2018.0,2.8,30021000,3717000,0.0,0.0,-1.33,-1.33,-405,54.4
1770890400,2034.5,2021.5,2040.2,2002.2,2035.4,0.9,29858000,2535000,0.0,0.0,-0.54,-0.54,-163,17.4
1770976800,1997.6,2007.1,2050.5,1996.5,2002.1,4.5,29789000,4258000,0.0,0.0,-0.23,-0.23,-69,-33.3
1771236000,2030.5,2013.5,2042.0,1993.2,2036.7,6.2,29833000,2717000,0.0,0.0,0.15,0.15,44,34.6
1771322400,2038.8,2031.9,2050.0,2026.8,2039.4,0.6,27144000,4595000,0.0,0.0,-9.01,-9.01,-2689,2.7
1771408800,2030.2,2031.5,2045.9,2012.3,2032.3,2.1,26743000,1859000,0.0,0.0,-1.48,-1.48,-401,-7.1
1771495200,2016.7,2044.7,2059.0,2005.1,2017.8,1.1,19546000,9548000,0.0,0.0,-26.91,-26.91,-7197,-14.5
1771581600,2043.2,1990.1,2049.9,1987.6,2042.9,-0.3,10521000,10989000,0.0,0.0,-46.17,-46.17,-9025,25.1
