time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,922.1,936.0,944.0,917.2,925.85,3.75,424011000,43152000,0.0,0.0,0.0,0.0,0,0.0
1770026400,928.1,917.2,934.2,914.15,931.1,3.0,428747000,41444000,0.0,0.0,1.12,1.12,4736,5.25
1770112800,948.7,974.8,984.8,945.65,950.8,2.1,413573000,78708000,0.0,0.0,-3.54,-3.54,-15174,19.7
1770199200,953.1,954.0,959.85,951.0,955.75,2.65,411839000,32354000,0.0,0.0,-0.42,-0.42,-1734,4.95
1770285600,949.7,956.0,957.7,950.75,952.35,2.65,409886000,14118000,0.0,0.0,-0.47,-0.47,-1953,-3.4
1770372000,941.1,947.9,951.2,941.6,944.3,3.2,411264000,24661000,0.0,0.0,0.34,0.34,1378,-8.05
1770631200,937.25,952.8,954.25,938.5,940.45,3.2,413734000,38780000,0.0,0.0,0.6,0.6,2470,-3.85
1770717600,932.4,934.0,944.8,932.9,935.8,3.4,419281000,30492000,0.0,0.0,1.34,1.34,5547,-4.65
1770804000,927.1,936.3,940.1,929.0,930.7,3.6,421831000,34917000,0.0,0.0,0.61,0.61,2550,-5.1
1770890400,920.6,930.1,931.0,922.25,924.1,3.5,424463000,40170000,0.0,0.0,0.62,0.62,2632,-6.6
1770976800,903.9,919.5,931.95,906.1,909.4,5.5,435504000,62614000,0.0,0.0,2.6,2.6,11041,-14.7
1771236000,925.8,907.7,930.9,905.3,927.4,1.6,430625000,36017000,0.0,0.0,-1.12,-1.12,-4879,18.0
1771322400,925.7,924.7,928.3,919.65,926.3,0.6,407389000,42918000,0.0,0.0,-5.4,-5.4,-23236,-1.1
1771408800,924.7,925.1,927.25,920.0,925.9,1.2,367083000,52896000,0.0,0.0,-9.89,-9.89,-40306,-0.4
1771495200,915.6,928.0,929.8,913.15,915.8,0.2,261504000,124441000,0.0,0.0,-28.76,-28.76,-105579,-10.1
1771581600,911.85,912.0,919.3,910.4,913.85,2.0,162156000,114003000,0.0,0.0,-37.99,-37.99,-99348,-1.95
