time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,3974.4,3952.2,3991.8,3772.5,3932.3,-42.1,8035000,1910000,0.0,0.0,0.0,0.0,0,0.0
1770026400,4079.8,3870.7,4064.7,3870.6,4045.8,-34.0,8591000,2638000,0.0,0.0,6.92,6.92,556,113.5
1770112800,4367,4294.0,4446.4,4255.9,4346.0,-21.0,9446000,5714000,0.0,0.0,9.95,9.95,855,300.2
1770199200,4423.3,4317.7,4480.3,4317.7,4441.8,18.5,9179000,2483000,0.0,0.0,-2.83,-2.83,-267,95.8
1770285600,4443,4407.4,4444.9,4345.0,4425.0,-18.0,9355000,2101000,0.0,0.0,1.92,1.92,176,-16.8
1770372000,4462.6,4416.9,4492.7,4386.6,4468.6,6.0,9390000,2675000,0.0,0.0,0.37,0.37,35,43.6
1770631200,4599.1,4486.5,4619.4,4450.5,4609.9,10.8,9312000,2173000,0.0,0.0,-0.83,-0.83,-78,141.3
1770717600,4590.6,4610.0,4630.0,4551.4,4606.6,16.0,9144000,1470000,0.0,0.0,-1.8,-1.8,-168,-3.3
1770804000,4605.9,4617.2,4662.0,4600.9,4619.5,13.6,9314000,2318000,0.0,0.0,1.86,1.86,170,12.9
1770890400,4591.3,4585.8,4621.8,4566.9,4607.6,16.3,9263000,1219000,0.0,0.0,-0.55,-0.55,-51,-11.9
1770976800,4566.8,4584.0,4630.0,4516.6,4565.2,-1.6,9210000,1411000,0.0,0.0,-0.57,-0.57,-53,-42.4
1771236000,4483.6,4549.7,4588.9,4470.0,4496.0,12.4,9267000,1534000,0.0,0.0,0.62,0.62,57,-69.2
1771322400,4567.8,4492.9,4595.2,4465.8,4583.8,16.0,9354000,1641000,0.0,0.0,0.94,0.94,87,87.8
1771408800,4606.9,4569.8,4648.0,4569.8,4622.3,15.4,9005000,2292000,0.0,0.0,-3.73,-3.73,-349,38.5
1771495200,4568.6,4636.7,4659.0,4555.8,4574.6,6.0,6754000,4730000,0.0,0.0,-25.0,-25.0,-2251,-47.7
1771581600,4756,4526.0,4784.0,4513.2,4755.6,-0.4,4376000,5394000,0.0,0.0,-35.21,-35.21,-2378,181.0
