time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,2135.2,2156.7,2160.0,2098.5,2132.4,-2.8,14717000,2024000,0.0,0.0,0.0,0.0,0,0.0
1770026400,2129.4,2139.8,2139.8,2077.9,2129.0,-0.4,14609000,2552000,0.0,0.0,-0.73,-0.73,-108,-3.4
1770112800,2185.9,2189.0,2224.5,2168.1,2195.2,9.3,14554000,4900000,0.0,0.0,-0.38,-0.38,-55,66.2
1770199200,2195.2,2214.9,2214.9,2162.0,2203.3,8.1,14911000,3066000,0.0,0.0,2.45,2.45,357,8.1
1770285600,2218.5,2212.0,2247.9,2205.0,2226.3,7.8,15466000,4828000,0.0,0.0,3.72,3.72,555,23.0
1770372000,2173.7,2217.2,2217.2,2165.0,2172.4,-1.3,15742000,3310000,0.0,0.0,1.78,1.78,276,-53.9
1770631200,2196.8,2192.5,2222.9,2172.4,2208.6,11.8,16241000,3942000,0.0,0.0,3.17,3.17,499,36.2
1770717600,2204.1,2222.2,2239.0,2202.6,2211.7,7.6,17875000,5948000,0.0,0.0,10.06,10.06,1634,3.1
1770804000,2209.1,2223.8,2239.2,2205.0,2214.4,5.3,19019000,4439000,0.0,0.0,6.4,6.4,1144,2.7
1770890400,2211.1,2214.4,2227.7,2174.0,2213.5,2.4,18973000,5108000,0.0,0.0,-0.24,-0.24,-46,-0.9
1770976800,2199.3,2209.0,2218.4,2161.7,2196.5,-2.8,18703000,7069000,0.0,0.0,-1.42,-1.42,-270,-17.0
1771236000,2221.5,2195.0,2238.0,2194.9,2227.9,6.4,18102000,4677000,0.0,0.0,-3.21,-3.21,-601,31.4
1771322400,2247.5,2235.2,2265.0,2232.9,2251.0,3.5,17981000,3770000,0.0,0.0,-0.67,-0.67,-121,23.1
1771408800,2226.7,2259.4,2259.4,2222.1,2229.6,2.9,17471000,2078000,0.0,0.0,-2.84,-2.84,-510,-21.4
1771495200,2228.7,2232.2,2248.5,2205.0,2224.5,-4.2,14139000,6940000,0.0,0.0,-19.07,-19.07,-3332,-5.1
1771581600,2219.4,2209.4,2239.4,2207.0,2219.7,0.3,10068000,6485000,0.0,0.0,-28.79,-28.79,-4071,-4.8
