time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1767952800,16501,16734,16762,16482,16559,58,2866350,328550,0,0,0,0.0,0,16559.0
1768212000,16582,16558,16684,16339,16649,67,2819150,358650,0,0,-1.65,-1.65,-47200,90.0
1768298400,16426,16737,16760,16306,16435,9,2839200,704550,0,0,0.71,0.71,20050,-214.0
1768384800,16152,16394,16428,16144,16160,8,2848450,445250,0,0,0.33,0.33,9250,-275.0
1768557600,15859,16164,16225,15812,15906,47,2870400,672250,0,0,0.77,0.77,21950,-254.0
1768816800,16176,15851,16246,15851,16170,-6,2786100,452800,0,0,-2.94,-2.94,-84300,264.0
1768903200,15879,16219,16237,15837,15871,-8,2633500,489600,0,0,-5.48,-5.48,-152600,-299.0
1768989600,15770,15875,15988,15717,15793,23,1913500,997750,0,0,-27.34,-27.34,-720000,-78.0
1769076000,15765,15902,15947,15700,15752,-13,1003500,1285300,0,0,-47.56,-47.56,-910000,-41.0
1769162400,15469,15763,15828,15441,15471,2,433550,950300,0,0,-56.8,-56.8,-569950,-281.0
1769508000,15245,15410,15410,15002,15230,-15,157850,533900,0,0,-63.59,-63.59,-275700,-241.0
1769594400,14877,15181,15380,14517,14950,73,3101300,2493600,0,0,1864.71,1864.71,2943450,-280.0
1769680800,14502,14806,14875,14423,14585,83,3152100,1197600,0,0,1.64,1.64,50800,-365.0
1769767200,14599,14580,14756,14368,14668,69,3216450,851400,0,0,2.04,2.04,64350,83.0
1769940000,14199,14700,14824,14152,14200,1,3239400,614150,0,0,0.71,0.71,22950,-468.0
1770026400,14384,14200,14463,14082,14407,23,3176750,822150,0,0,-1.93,-1.93,-62650,207.0
1770112800,14782,15007,15240,14501,14782,0,3229250,1188150,0,0,1.65,1.65,52500,375.0
1770199200,15071,14730,15188,14730,15099,28,3091850,551400,0,0,-4.25,-4.25,-137400,317.0
1770285600,15059,15176,15176,14909,15082,23,3031800,376100,0,0,-1.94,-1.94,-60050,-17.0
1770372000,14997,15084,15130,14884,15004,7,2968350,351250,0,0,-2.09,-2.09,-63450,-78.0
1770631200,14978,15164,15164,14936,14986,8,2924250,276650,0,0,-1.49,-1.49,-44100,-18.0
1770717600,15146,15018,15385,14979,15197,51,2968450,509750,0,0,1.51,1.51,44200,211.0
1770804000,15412,15247,15461,15210,15418,6,2984850,539100,0,0,0.55,0.55,16400,221.0
1770890400,15326,15399,15440,15306,15374,48,3009900,257150,0,0,0.84,0.84,25050,-44.0
1770976800,15237,15358,15429,15223,15253,16,2974600,248200,0,0,-1.17,-1.17,-35300,-121.0
