time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1767952800,234.09,231.28,238.79,231.28,234.37,0.28,106503750,17313750,0,0,0,0.0,0,234.37
1768212000,235.71,235.33,236.82,232.7,236.46,0.75,107133750,13639500,0,0,0.59,0.59,630000,2.09
1768298400,243.78,236.5,244.31,236.39,244.01,0.23,109518750,32211000,0,0,2.23,2.23,2385000,7.55
1768384800,248.23,244,251.1,243.95,248.7,0.47,107010000,34407000,0,0,-2.29,-2.29,-2508750,4.69
1768557600,247.17,246.9,247.79,242.5,247.07,-0.1,105342750,18958500,0,0,-1.56,-1.56,-1667250,-1.63
1768816800,243.11,245.13,247.82,242.94,243.48,0.37,104991750,10140750,0,0,-0.33,-0.33,-351000,-3.59
1768903200,240.39,242.8,245.22,240.3,240.88,0.49,100644750,12521250,0,0,-4.14,-4.14,-4347000,-2.6
1768989600,242.37,241.02,244.33,239.93,242.14,-0.23,92459250,25258500,0,0,-8.13,-8.13,-8185500,1.26
1769076000,244.01,244.05,246.27,242.31,243.78,-0.23,76630500,30714750,0,0,-17.12,-17.12,-15828750,1.64
1769162400,245.47,243.3,246.1,241.52,244.91,-0.56,52200000,39476250,0,0,-31.88,-31.88,-24430500,1.13
1769508000,247.95,247.36,248.42,245.24,247.47,-0.48,39080250,62237250,0,0,-25.13,-25.13,-13119750,2.56
1769594400,268.58,249.5,268.9,249.5,267.95,-0.63,89973000,55026000,0,0,130.23,130.23,50892750,20.48
1769680800,275.39,270.38,275.91,268.68,273.75,-1.64,89622000,32620500,0,0,-0.39,-0.39,-351000,5.8
1769767200,268.96,272.99,274.69,267.63,268.35,-0.61,89221500,21289500,0,0,-0.45,-0.45,-400500,-5.4
1769940000,254.3,268.95,275,252.7,253.9,-0.4,88373250,20409750,0,0,-0.95,-0.95,-848250,-14.45
