time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,381.5,375.65,401.2,369.25,380.95,-0.55,42402000,25467000,0.0,0.0,0.0,0.0,0,0.0
1770026400,385.65,380.6,388.65,371.1,383.35,-2.3,41605000,18485000,0.0,0.0,-1.88,-1.88,-797,2.4
1770112800,392.6,396.9,397.8,385.55,392.05,-0.55,42881000,11613000,0.0,0.0,3.07,3.07,1276,8.7
1770199200,414.6,389.1,415.55,389.0,414.35,-0.25,44959000,19990000,0.0,0.0,4.85,4.85,2078,22.3
1770285600,415,413.8,418.7,404.1,412.75,-2.25,43953000,20975000,0.0,0.0,-2.24,-2.24,-1006,-1.6
1770372000,419.2,410.2,417.85,403.3,416.5,-2.7,43244000,9956000,0.0,0.0,-1.61,-1.61,-709,3.75
1770631200,415.2,420.1,426.6,402.7,412.6,-2.6,44295000,18740000,0.0,0.0,2.43,2.43,1051,-3.9
1770717600,413.25,413.6,416.0,405.25,410.65,-2.6,44516000,8730000,0.0,0.0,0.5,0.5,221,-1.95
1770804000,415.85,412.9,414.4,409.3,413.45,-2.4,44403000,5919000,0.0,0.0,-0.25,-0.25,-113,2.8
1770890400,410.55,415.0,418.25,404.7,407.75,-2.8,43184000,8708000,0.0,0.0,-2.75,-2.75,-1219,-5.7
1770976800,400.55,405.2,405.25,396.45,397.5,-3.05,42774000,5859000,0.0,0.0,-0.95,-0.95,-410,-10.25
1771236000,411.8,395.8,410.25,393.6,408.85,-2.95,42738000,6438000,0.0,0.0,-0.08,-0.08,-36,11.35
1771322400,416.95,407.95,414.6,406.1,413.9,-3.05,38631000,8823000,0.0,0.0,-9.61,-9.61,-4107,5.05
1771408800,420.45,415.9,420.6,414.4,416.5,-3.95,36948000,6285000,0.0,0.0,-4.36,-4.36,-1683,2.6
1771495200,409.55,416.8,417.55,402.35,404.9,-4.65,29021000,12480000,0.0,0.0,-21.45,-21.45,-7927,-11.6
1771581600,410.1,404.2,410.55,404.2,409.4,-0.7,18898000,13880000,0.0,0.0,-34.88,-34.88,-10123,4.5
