time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1767952800,2070,2098.1,2098.5,2071,2075.8,5.8,9106125,1206000,0,0,0,0.0,0,2075.8
1768212000,2098,2090.5,2108.6,2082.1,2100.5,2.5,9375000,2200500,0,0,2.95,2.95,268875,24.7
1768298400,2082.4,2102.8,2104.2,2077.5,2087.4,5.0,9419250,1493250,0,0,0.47,0.47,44250,-13.1
1768384800,2068.8,2081.2,2096.6,2070.7,2076.4,7.6,9282750,1649250,0,0,-1.45,-1.45,-136500,-11.0
1768557600,2081,2075.5,2099.6,2066.7,2085.5,4.5,9277500,1239000,0,0,-0.06,-0.06,-5250,9.1
1768816800,2073.7,2084.3,2097.5,2075.4,2077.6,3.9,9133500,818625,0,0,-1.55,-1.55,-144000,-7.9
1768903200,2049.1,2073.4,2080.5,2049,2053.6,4.5,8702250,1156875,0,0,-4.72,-4.72,-431250,-24.0
1768989600,2055.4,2058,2077.8,2043.3,2053.1,-2.3,7225500,2841000,0,0,-16.97,-16.97,-1476750,-0.5
1769076000,2022,2055.1,2065.9,2013.7,2027.2,5.2,3919875,4925625,0,0,-45.75,-45.75,-3305625,-25.9
1769162400,2002.6,2029.3,2029.3,1990.9,2003.1,0.5,1439250,3382500,0,0,-63.28,-63.28,-2480625,-24.1
1769508000,2038.2,2022.1,2049.8,2013,2041.3,3.1,1288875,2101125,0,0,-10.45,-10.45,-150375,38.2
1769594400,2053.2,2057.9,2089.1,2044.5,2060.7,7.5,9744750,3017250,0,0,656.07,656.07,8455875,19.4
1769680800,1996.3,2075,2077.9,1973.6,2004.6,8.3,9904125,3535125,0,0,1.64,1.64,159375,-56.1
1769767200,1998.5,1999.2,2021.9,1962.6,2007.2,8.7,9976125,1902750,0,0,0.73,0.73,72000,2.6
1769940000,1974.3,2016.1,2020.7,1938.6,1980.4,6.1,9882750,1245375,0,0,-0.94,-0.94,-93375,-26.8
