time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,354.35,366.75,372.9,352.65,354.95,0.6,36766000,5185000,0.0,0.0,0.0,0.0,0,0.0
1770026400,358.8,356.0,361.0,349.05,359.95,1.15,37115000,3910000,0.0,0.0,0.95,0.95,349,5.0
1770112800,365.1,374.5,374.5,365.1,366.3,1.2,36921000,6325000,0.0,0.0,-0.52,-0.52,-194,6.35
1770199200,371.55,366.5,373.8,364.35,373.1,1.55,36900000,4156000,0.0,0.0,-0.06,-0.06,-21,6.8
1770285600,364.5,366.0,368.0,361.3,365.15,0.65,37370000,6772000,0.0,0.0,1.27,1.27,470,-7.95
1770372000,365.95,364.8,367.85,361.75,367.15,1.2,37746000,3273000,0.0,0.0,1.01,1.01,376,2.0
1770631200,368.7,369.0,369.45,366.2,369.15,0.45,37656000,1910000,0.0,0.0,-0.24,-0.24,-90,2.0
1770717600,369.95,368.6,371.5,368.1,370.8,0.85,37512000,1641000,0.0,0.0,-0.38,-0.38,-144,1.65
1770804000,375.65,372.7,378.3,367.05,376.8,1.15,37259000,4042000,0.0,0.0,-0.67,-0.67,-253,6.0
1770890400,380.55,378.0,381.9,372.6,380.85,0.3,37418000,5025000,0.0,0.0,0.43,0.43,159,4.05
1770976800,374.1,377.6,378.0,371.5,374.35,0.25,37309000,3074000,0.0,0.0,-0.29,-0.29,-109,-6.5
1771236000,382.1,373.8,384.4,371.0,383.15,1.05,36716000,4411000,0.0,0.0,-1.59,-1.59,-593,8.8
1771322400,378.4,382.5,384.5,377.6,378.8,0.4,36113000,3112000,0.0,0.0,-1.64,-1.64,-603,-4.35
1771408800,379.6,380.5,382.45,378.05,379.5,-0.1,33699000,5017000,0.0,0.0,-6.68,-6.68,-2414,0.7
1771495200,369.3,380.4,382.0,367.95,368.85,-0.45,27140000,10125000,0.0,0.0,-19.46,-19.46,-6559,-10.65
1771581600,378,368.2,379.6,368.2,378.65,0.65,19510000,13080000,0.0,0.0,-28.11,-28.11,-7630,9.8
