time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1767002400,2775.4,2757.3,2793.4,2735.7,2775.2,-0.2,2217250,3603750,0,0,0,0.0,0,2775.2
1767088800,2758.3,2776.3,2786.7,2739.3,2757.6,-0.7,1414750,2540250,0,0,-36.19,-36.19,-802500,-17.59999999999991
1767175200,2769.5,2750.6,2802,2750.6,2781.9,12.4,13067500,1147250,0,0,823.66,823.66,11652750,24.300000000000182
1767261600,2752,2781.8,2793.9,2762.3,2766.6,14.6,13050500,324000,0,0,-0.13,-0.13,-17000,-15.300000000000182
1767348000,2772.6,2777.6,2808.5,2767.2,2786.9,14.3,12959000,868000,0,0,-0.7,-0.7,-91500,20.300000000000182
1767607200,2815.6,2788.5,2842.9,2770.8,2828,12.4,12887000,1528000,0,0,-0.56,-0.56,-72000,41.09999999999991
1767693600,2845.8,2838,2854.9,2812.6,2850.5,4.7,13014500,1202500,0,0,0.99,0.99,127500,22.5
1767780000,2809.4,2851,2861,2805.3,2811.8,2.4,13093750,976000,0,0,0.61,0.61,79250,-38.69999999999982
1767866400,2786.5,2816,2816,2772,2797.6,11.1,13129750,1085750,0,0,0.27,0.27,36000,-14.200000000000273
1767952800,2825.5,2780,2868,2775.5,2836.6,11.1,12821500,2273250,0,0,-2.35,-2.35,-308250,39.0
1768212000,2896.4,2840,2912.9,2819.8,2907.3,10.9,12355000,2272250,0,0,-3.64,-3.64,-466500,70.70000000000027
1768298400,2886.3,2908,2919.9,2879,2890.8,4.5,12457750,1349000,0,0,0.83,0.83,102750,-16.5
1768384800,2813.9,2888,2888.8,2816.8,2823.2,9.3,12396000,1550500,0,0,-0.5,-0.5,-61750,-67.60000000000036
1768557600,2756.9,2821,2836.3,2757.5,2764.9,8.0,12262500,1787000,0,0,-1.08,-1.08,-133500,-58.29999999999973
1768816800,2754,2764.6,2790.5,2728.5,2748.6,-5.4,12350750,1262750,0,0,0.72,0.72,88250,-16.300000000000182
1768903200,2675.6,2736.6,2744,2673,2679,3.4,12301000,1426250,0,0,-0.4,-0.4,-49750,-69.59999999999991
1768989600,2661.1,2679.8,2687,2651.5,2664.5,3.4,9068500,4449000,0,0,-26.28,-26.28,-3232500,-14.5
1769076000,2703.8,2670.4,2727.5,2670.4,2705.2,1.4,4758250,5695000,0,0,-47.53,-47.53,-4310250,40.69999999999982
1769162400,2703.7,2709.3,2786.2,2688.3,2710.5,6.8,1662250,4940750,0,0,-65.07,-65.07,-3096000,5.300000000000182
