time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1767002400,282.85,279.6,285.5,279.6,282.25,-0.6,44452675,56849275,0,0,0,0.0,0,282.25
1767088800,277.1,281.1,281.1,275.05,276.45,-0.65,8385650,51038975,0,0,-81.14,-81.14,-36067025,-5.800000000000011
1767175200,278.05,277.9,281.7,277.1,279.8,1.75,283926275,19303000,0,0,3285.86,3285.86,275540625,3.3500000000000227
1767261600,283.8,280.05,286.2,280.05,284.9,1.1,281130250,15425425,0,0,-0.98,-0.98,-2796025,5.099999999999966
1767348000,284.15,284.95,288.85,284.5,285.2,1.05,278149925,13116825,0,0,-1.06,-1.06,-2980325,0.30000000000001137
1767607200,281.8,285.9,285.9,280.6,282.6,0.8,276379675,13240500,0,0,-0.64,-0.64,-1770250,-2.599999999999966
1767693600,279.05,283.1,284.75,277.2,279.6,0.55,275130800,18068675,0,0,-0.45,-0.45,-1248875,-3.0
1767780000,280.95,278,287.75,277.75,282.4,1.45,282750150,33452875,0,0,2.77,2.77,7619350,2.7999999999999545
1767866400,283.55,281.8,288.75,280.25,284.6,1.05,278947750,32470750,0,0,-1.34,-1.34,-3802400,2.2000000000000455
1767952800,284.35,283.85,294,282.5,285.85,1.5,282231200,50182950,0,0,1.18,1.18,3283450,1.25
1768212000,285.25,286.2,286.95,277.7,285.9,0.65,283453400,26483425,0,0,0.43,0.43,1222200,0.049999999999954525
1768298400,294.55,292,297.95,289.45,294.75,0.2,279757700,61704125,0,0,-1.3,-1.3,-3695700,8.850000000000023
1768384800,299.25,293.9,299.95,292,299.4,0.15,271197450,42262900,0,0,-3.06,-3.06,-8560250,4.649999999999977
1768557600,287.7,295.55,296.8,287.75,288.7,1.0,272509375,68060050,0,0,0.48,0.48,1311925,-10.699999999999989
1768816800,281.35,290,290.25,277.45,282.15,0.8,286125750,63479225,0,0,5.0,5.0,13616375,-6.550000000000011
1768903200,269.6,281,283.1,268.75,270.45,0.85,289852975,57715000,0,0,1.3,1.3,3727225,-11.699999999999989
1768989600,283.5,271,287.9,269.1,283.85,0.35,199611450,163588075,0,0,-31.13,-31.13,-90241525,13.400000000000034
1769076000,275.9,297,304,275.5,276.4,0.5,106675750,193578050,0,0,-46.56,-46.56,-92935700,-7.4500000000000455
1769162400,258.7,276.05,276.05,257.95,258.9,0.2,46404800,90440375,0,0,-56.5,-56.5,-60270950,-17.5
