time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1767002400,2009.8,2014.2,2024.7,2008,2011.9,2.1,678375,2092500,0,0,0,0.0,0,2011.9
1767088800,1995.5,2018.3,2018.3,1969.5,1997.3,1.8,414750,1033875,0,0,-38.86,-38.86,-263625,-14.600000000000136
1767175200,2034.9,2018.6,2052.2,2004.7,2047.7,12.8,8001000,974250,0,0,1829.11,1829.11,7586250,50.40000000000009
1767261600,2040.4,2046.7,2061.9,2039.6,2053.4,13.0,8091000,462750,0,0,1.12,1.12,90000,5.7000000000000455
1767348000,2067.4,2062,2087.7,2054.9,2075.5,8.1,8324625,879750,0,0,2.89,2.89,233625,22.09999999999991
1767607200,2075.6,2080.5,2104,2078.1,2084.2,8.6,8399625,822750,0,0,0.9,0.9,75000,8.699999999999818
1767693600,2095.8,2080,2114.3,2079.8,2101.1,5.3,8516250,972750,0,0,1.39,1.39,116625,16.90000000000009
1767780000,2070.8,2098.3,2117,2074.9,2079.2,8.4,8934375,1537500,0,0,4.91,4.91,418125,-21.90000000000009
1767866400,2082.9,2079.3,2102,2077.3,2090.1,7.2,9129000,1991250,0,0,2.18,2.18,194625,10.900000000000091
1767952800,2070,2098.1,2098.5,2071,2075.8,5.8,9106125,1206000,0,0,-0.25,-0.25,-22875,-14.299999999999727
1768212000,2098,2090.5,2108.6,2082.1,2100.5,2.5,9375000,2200500,0,0,2.95,2.95,268875,24.699999999999818
1768298400,2082.4,2102.8,2104.2,2077.5,2087.4,5.0,9419250,1493250,0,0,0.47,0.47,44250,-13.099999999999909
1768384800,2068.8,2081.2,2096.6,2070.7,2076.4,7.6,9282750,1649250,0,0,-1.45,-1.45,-136500,-11.0
1768557600,2081,2075.5,2099.6,2066.7,2085.5,4.5,9277500,1239000,0,0,-0.06,-0.06,-5250,9.099999999999909
1768816800,2073.7,2084.3,2097.5,2075.4,2077.6,3.9,9133500,818625,0,0,-1.55,-1.55,-144000,-7.900000000000091
1768903200,2049.1,2073.4,2080.5,2049,2053.6,4.5,8702250,1156875,0,0,-4.72,-4.72,-431250,-24.0
1768989600,2055.4,2058,2077.8,2043.3,2053.1,-2.3,7225500,2841000,0,0,-16.97,-16.97,-1476750,-0.5
1769076000,2022,2055.1,2065.9,2013.7,2027.2,5.2,3919875,4925625,0,0,-45.75,-45.75,-3305625,-25.899999999999864
1769162400,2002.6,2029.3,2029.3,1990.9,2003.1,0.5,1439250,3382500,0,0,-63.28,-63.28,-2480625,-24.100000000000136
