time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,1101.8,1113.0,1130.0,1021.5,1096.1,-5.7,50000,117000,0.0,0.0,0.0,0.0,0,0.0
1770026400,1110.5,1082.0,1117.4,1067.8,1110.0,-0.5,62000,72000,0.0,0.0,24.0,24.0,12,13.9
1770112800,1167.6,1169.4,1174.0,1148.0,1170.8,3.2,79000,89000,0.0,0.0,27.42,27.42,17,60.8
1770199200,1166.1,1163.3,1172.2,1140.4,1170.6,4.5,90000,63000,0.0,0.0,13.92,13.92,11,-0.2
1770285600,1140.8,1152.0,1153.8,1136.2,1145.8,5.0,121000,72000,0.0,0.0,34.44,34.44,31,-24.8
1770372000,1113.9,1133.5,1133.5,1104.6,1116.7,2.8,135000,70000,0.0,0.0,11.57,11.57,14,-29.1
1770631200,1138.3,1129.4,1140.0,1121.4,1136.9,-1.4,132000,42000,0.0,0.0,-2.22,-2.22,-3,20.2
1770717600,1162.4,1130.0,1170.4,1127.8,1161.2,-1.2,173000,458000,0.0,0.0,31.06,31.06,41,24.3
1770804000,1138.4,1151.4,1157.6,1126.6,1140.9,2.5,250000,163000,0.0,0.0,44.51,44.51,77,-20.3
1770890400,1144.4,1126.1,1148.1,1116.0,1146.5,2.1,248000,94000,0.0,0.0,-0.8,-0.8,-2,5.6
1770976800,1126.8,1133.6,1133.9,1116.6,1132.6,5.8,263000,57000,0.0,0.0,6.05,6.05,15,-13.9
1771236000,1119.6,1098.2,1136.8,1098.2,1121.3,1.7,277000,93000,0.0,0.0,5.32,5.32,14,-11.3
1771322400,1124.6,1120.6,1136.3,1114.6,1126.2,1.6,428000,2972000,0.0,0.0,54.51,54.51,151,4.9
1771408800,1127.2,1127.0,1140.6,1121.3,1126.2,-1.0,503000,228000,0.0,0.0,17.52,17.52,75,0.0
1771495200,1104.5,1127.8,1127.8,1088.9,1105.4,0.9,1390000,1817000,0.0,0.0,176.34,176.34,887,-20.8
1771581600,1100.6,1116.9,1118.4,1090.5,1108.0,7.4,3056000,2985000,0.0,0.0,119.86,119.86,1666,2.6
1772445600,1074.7,1092.0,1103.0,1053.6,1078.6,3.9,6242000,3199000,0.0,0.0,104.25,104.25,3186,-29.4
1772618400,1066.4,1055.9,1075.7,1044.0,1071.2,4.8,6214000,1881000,0.0,0.0,-0.45,-0.45,-28,-7.4
1772704800,1081,1081.0,1087.4,1067.7,1083.0,2.0,6073000,964000,0.0,0.0,-2.27,-2.27,-141,11.8
1772791200,1064.2,1082.6,1089.0,1064.0,1066.7,2.5,6093000,857000,0.0,0.0,0.33,0.33,20,-16.3
1773050400,1035.1,1058.6,1059.1,1026.7,1039.9,4.8,6331000,1965000,0.0,0.0,3.91,3.91,238,-26.8
1773136800,1055.8,1045.2,1063.4,1035.2,1057.9,2.1,6239000,1010000,0.0,0.0,-1.45,-1.45,-92,18.0
1773223200,1048.1,1057.2,1065.7,1040.0,1047.7,-0.4,5984000,1347000,0.0,0.0,-4.09,-4.09,-255,-10.2
1773309600,1043.4,1035.2,1052.2,1021.0,1044.2,0.8,5981000,1506000,0.0,0.0,-0.05,-0.05,-3,-3.5
1773396000,1027.4,1034.0,1047.1,1024.8,1027.3,-0.1,5884000,1346000,0.0,0.0,-1.62,-1.62,-97,-16.9
1773655200,1022.9,1038.4,1038.4,1011.2,1025.6,2.7,5982000,1199000,0.0,0.0,1.67,1.67,98,-1.7
1773741600,1043.4,1028.4,1045.0,1023.6,1042.8,-0.6,5798000,788000,0.0,0.0,-3.08,-3.08,-184,17.2
