time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,5437,5555.0,5620.0,5274.0,5447.5,10.5,644000,591000,0.0,0.0,0.0,0.0,0,0.0
1770026400,5468,5504.0,5531.5,5390.0,5473.0,5.0,651000,131000,0.0,0.0,1.09,1.09,7,25.5
1770112800,5668.5,5690.0,5842.5,5602.0,5645.5,-23.0,730000,687000,0.0,0.0,12.14,12.14,79,172.5
1770199200,5755,5699.0,5844.5,5698.5,5763.5,8.5,1345000,1002000,0.0,0.0,84.25,84.25,615,118.0
1770285600,5770,5760.0,5825.0,5653.5,5773.5,3.5,1894000,797000,0.0,0.0,40.82,40.82,549,10.0
1770372000,5816,5755.0,5828.0,5720.0,5802.0,-14.0,2175000,466000,0.0,0.0,14.84,14.84,281,28.5
1770631200,5815.5,5827.5,5834.5,5748.0,5824.5,9.0,2214000,195000,0.0,0.0,1.79,1.79,39,22.5
1770717600,5870,5839.0,5888.5,5818.0,5872.5,2.5,2354000,295000,0.0,0.0,6.32,6.32,140,48.0
1770804000,5825.5,5845.5,5859.5,5790.0,5819.0,-6.5,2386000,194000,0.0,0.0,1.36,1.36,32,-53.5
1770890400,5788.5,5820.5,5820.5,5764.0,5800.5,12.0,2456000,246000,0.0,0.0,2.93,2.93,70,-18.5
1770976800,5780.5,5756.5,5846.0,5720.0,5772.0,-8.5,2640000,448000,0.0,0.0,7.49,7.49,184,-28.5
1771236000,5888,5750.0,5904.0,5750.0,5894.0,6.0,2947000,677000,0.0,0.0,11.63,11.63,307,122.0
1771322400,5836,5883.0,5939.5,5799.0,5826.5,-9.5,3666000,1373000,0.0,0.0,24.4,24.4,719,-67.5
1771408800,5881.5,5845.0,5913.5,5761.5,5891.5,10.0,4167000,1338000,0.0,0.0,13.67,13.67,501,65.0
1771495200,5719.5,5870.0,5901.5,5680.5,5705.5,-14.0,7952000,8211000,0.0,0.0,90.83,90.83,3785,-186.0
1771581600,5987,5686.5,6287.0,5686.5,6023.5,36.5,15501000,26326000,0.0,0.0,94.93,94.93,7549,318.0
1772445600,5983,6012.0,6110.0,5931.0,6015.0,32.0,16940000,3693000,0.0,0.0,9.28,9.28,1439,-8.5
1772618400,5830.5,5961.0,5961.0,5810.5,5849.0,18.5,16665000,3033000,0.0,0.0,-1.62,-1.62,-275,-166.0
1772704800,5929,5847.0,6011.0,5845.0,5943.0,14.0,16200000,3006000,0.0,0.0,-2.79,-2.79,-465,94.0
1772791200,6062,5933.5,6127.0,5889.5,6070.5,8.5,15860000,4723000,0.0,0.0,-2.1,-2.1,-340,127.5
1773050400,5982.5,5970.0,6027.0,5869.0,6004.0,21.5,15891000,3111000,0.0,0.0,0.2,0.2,31,-66.5
1773136800,6224.5,6087.0,6285.0,6043.0,6253.0,28.5,16735000,7623000,0.0,0.0,5.31,5.31,844,249.0
1773223200,6280,6250.0,6335.0,6210.0,6277.5,-2.5,16129000,5449000,0.0,0.0,-3.62,-3.62,-606,24.5
1773309600,6409,6230.0,6429.5,6147.0,6403.5,-5.5,16323000,6188000,0.0,0.0,1.2,1.2,194,126.0
1773396000,6392.5,6423.0,6545.5,6312.5,6361.0,-31.5,16942000,10680000,0.0,0.0,3.79,3.79,619,-42.5
1773655200,6218,6395.0,6395.0,6133.5,6214.0,-4.0,16564000,6734000,0.0,0.0,-2.23,-2.23,-378,-147.0
1773741600,6310.5,6230.5,6334.5,6160.5,6313.0,2.5,16499000,3728000,0.0,0.0,-0.39,-0.39,-65,99.0
