time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,1344.9,1424.5,1468.4,1335.2,1350.6,5.7,1590000,591000,0.0,0.0,0.0,0.0,0,0.0
1770026400,1403.1,1373.7,1417.1,1367.9,1414.7,11.6,1602000,336000,0.0,0.0,0.75,0.75,12,64.1
1770112800,1530.8,1507.3,1552.5,1503.2,1543.1,12.3,1380000,1760000,0.0,0.0,-13.86,-13.86,-222,128.4
1770199200,1567.9,1528.6,1585.9,1525.0,1580.2,12.3,1447000,851000,0.0,0.0,4.86,4.86,67,37.1
1770285600,1570.2,1578.7,1592.5,1563.2,1587.0,16.8,1427000,674000,0.0,0.0,-1.38,-1.38,-20,6.8
1770372000,1550.7,1583.8,1589.4,1542.7,1564.5,13.8,1445000,409000,0.0,0.0,1.26,1.26,18,-22.5
1770631200,1561.7,1587.6,1610.7,1570.8,1575.7,14.0,1515000,384000,0.0,0.0,4.84,4.84,70,11.2
1770717600,1554.7,1571.2,1583.3,1539.9,1569.2,14.5,1627000,527000,0.0,0.0,7.39,7.39,112,-6.5
1770804000,1553.4,1575.0,1575.0,1555.0,1564.8,11.4,1702000,274000,0.0,0.0,4.61,4.61,75,-4.4
1770890400,1543.7,1559.0,1563.1,1547.7,1557.6,13.9,1759000,257000,0.0,0.0,3.35,3.35,57,-7.2
1770976800,1519,1556.6,1556.7,1522.4,1528.2,9.2,1938000,648000,0.0,0.0,10.18,10.18,179,-29.4
1771236000,1540.1,1511.6,1558.5,1506.6,1553.6,13.5,2272000,957000,0.0,0.0,17.23,17.23,334,25.4
1771322400,1566.3,1554.4,1584.8,1548.0,1576.0,9.7,2573000,1131000,0.0,0.0,13.25,13.25,301,22.4
1771408800,1550.8,1576.0,1576.0,1550.3,1563.2,12.4,4730000,3292000,0.0,0.0,83.83,83.83,2157,-12.8
1771495200,1513.3,1558.0,1561.7,1518.0,1522.6,9.3,15307000,12577000,0.0,0.0,223.62,223.62,10577,-40.6
1771581600,1511.5,1523.9,1539.0,1513.6,1522.4,10.9,29206000,15844000,0.0,0.0,90.8,90.8,13899,-0.2
1772445600,1470.3,1453.1,1506.0,1434.1,1474.0,3.7,43959000,12100000,0.0,0.0,50.51,50.51,14753,-48.4
1772618400,1434.4,1445.8,1454.4,1416.5,1440.9,6.5,43613000,8020000,0.0,0.0,-0.79,-0.79,-346,-33.1
1772704800,1499.3,1450.1,1507.9,1450.1,1501.8,2.5,42883000,9182000,0.0,0.0,-1.67,-1.67,-730,60.9
1772791200,1477.5,1488.0,1499.0,1472.1,1478.3,0.8,41598000,6333000,0.0,0.0,-3.0,-3.0,-1285,-23.5
1773050400,1421.3,1400.1,1442.1,1400.1,1427.8,6.5,41903000,8164000,0.0,0.0,0.73,0.73,305,-50.5
1773136800,1424.1,1458.0,1478.7,1422.3,1430.8,6.7,43249000,5883000,0.0,0.0,3.21,3.21,1346,3.0
1773223200,1410.8,1433.7,1460.6,1411.0,1415.5,4.7,43797000,6771000,0.0,0.0,1.27,1.27,548,-15.3
1773309600,1391.5,1402.1,1424.0,1378.6,1397.0,5.5,44189000,5458000,0.0,0.0,0.9,0.9,392,-18.5
1773396000,1363.2,1387.0,1390.5,1358.0,1363.2,0.0,43166000,7357000,0.0,0.0,-2.32,-2.32,-1023,-33.8
1773655200,1373.9,1352.4,1385.8,1349.9,1374.4,0.5,42578000,6071000,0.0,0.0,-1.36,-1.36,-588,11.2
1773741600,1365.5,1379.8,1379.8,1354.2,1369.4,3.9,42967000,4167000,0.0,0.0,0.91,0.91,389,-5.0
