time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,1579.5,1626.6,1660.5,1577.0,1585.3,5.8,193000,153000,0.0,0.0,0.0,0.0,0,0.0
1770026400,1594.3,1577.4,1615.1,1543.1,1609.2,14.9,196000,171000,0.0,0.0,1.55,1.55,3,23.9
1770112800,1694.4,1712.0,1750.0,1689.0,1704.0,9.6,191000,171000,0.0,0.0,-2.55,-2.55,-5,94.8
1770199200,1739.5,1700.0,1750.9,1694.9,1748.2,8.7,226000,212000,0.0,0.0,18.32,18.32,35,44.2
1770285600,1722.3,1739.7,1747.6,1728.0,1736.2,13.9,242000,63000,0.0,0.0,7.08,7.08,16,-12.0
1770372000,1742.2,1740.3,1755.0,1710.0,1751.9,9.7,271000,173000,0.0,0.0,11.98,11.98,29,15.7
1770631200,1770.2,1763.4,1787.0,1761.0,1779.9,9.7,275000,112000,0.0,0.0,1.48,1.48,4,28.0
1770717600,1726.2,1779.4,1779.4,1736.0,1739.6,13.4,292000,174000,0.0,0.0,6.18,6.18,17,-40.3
1770804000,1723,1738.0,1745.0,1727.2,1731.4,8.4,313000,75000,0.0,0.0,7.19,7.19,21,-8.2
1770890400,1731.8,1717.4,1753.6,1713.8,1747.4,15.6,326000,128000,0.0,0.0,4.15,4.15,13,16.0
1770976800,1709.4,1741.9,1741.9,1716.5,1720.6,11.2,347000,110000,0.0,0.0,6.44,6.44,21,-26.8
1771236000,1714.8,1700.1,1734.0,1699.3,1729.2,14.4,420000,240000,0.0,0.0,21.04,21.04,73,8.6
1771322400,1732.1,1714.6,1747.5,1710.8,1742.0,9.9,478000,324000,0.0,0.0,13.81,13.81,58,12.8
1771408800,1717,1732.6,1743.1,1722.5,1730.3,13.3,1820000,2360000,0.0,0.0,280.75,280.75,1342,-11.7
1771495200,1676.6,1734.9,1734.9,1683.5,1689.8,13.2,7577000,7118000,0.0,0.0,316.32,316.32,5757,-40.5
1771581600,1669.6,1680.5,1698.2,1674.5,1681.2,11.6,15341000,9548000,0.0,0.0,102.47,102.47,7764,-8.6
1772445600,1703.7,1684.1,1732.9,1674.4,1708.1,4.4,25579000,2808000,0.0,0.0,66.74,66.74,10238,26.9
1772618400,1653.6,1690.0,1690.0,1632.8,1661.6,8.0,25323000,3430000,0.0,0.0,-1.0,-1.0,-256,-46.5
1772704800,1669,1662.2,1695.4,1647.5,1679.2,10.2,25501000,3273000,0.0,0.0,0.7,0.7,178,17.6
1772791200,1626.3,1666.0,1680.4,1625.5,1629.8,3.5,25523000,3231000,0.0,0.0,0.09,0.09,22,-49.4
1773050400,1583,1552.5,1593.0,1484.9,1588.1,5.1,25889000,4634000,0.0,0.0,1.43,1.43,366,-41.7
1773136800,1621.9,1614.0,1639.9,1597.0,1630.3,8.4,25992000,3541000,0.0,0.0,0.4,0.4,103,42.2
1773223200,1557.4,1630.3,1630.3,1555.6,1561.1,3.7,26399000,4316000,0.0,0.0,1.57,1.57,407,-69.2
1773309600,1526.1,1534.0,1559.0,1516.2,1532.0,5.9,27090000,3749000,0.0,0.0,2.62,2.62,691,-29.1
1773396000,1514,1525.4,1533.6,1502.7,1514.0,0.0,26683000,2724000,0.0,0.0,-1.5,-1.5,-407,-18.0
1773655200,1527.1,1485.0,1544.0,1485.0,1529.2,2.1,26136000,3660000,0.0,0.0,-2.05,-2.05,-547,15.2
1773741600,1529,1536.2,1560.7,1515.8,1529.5,0.5,25956000,3113000,0.0,0.0,-0.69,-0.69,-180,0.3
