time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,82.03,84.86,84.86,82.05,82.74,0.71,1807000,706000,0.0,0.0,0.0,0.0,0,0.0
1770026400,81.21,82.44,82.44,80.26,82.1,0.89,2005000,622000,0.0,0.0,10.96,10.96,198,-0.64
1770112800,84.85,86.1,86.83,84.12,85.68,0.83,1821000,544000,0.0,0.0,-9.18,-9.18,-184,3.58
1770199200,85.14,85.14,86.11,84.8,85.98,0.84,1836000,400000,0.0,0.0,0.82,0.82,15,0.3
1770285600,85.48,85.91,86.42,85.5,86.04,0.56,1818000,229000,0.0,0.0,-0.98,-0.98,-18,0.06
1770372000,85.11,85.6,86.4,84.8,85.75,0.64,1832000,213000,0.0,0.0,0.77,0.77,14,-0.29
1770631200,84.76,85.72,86.09,85.13,85.43,0.67,1850000,248000,0.0,0.0,0.98,0.98,18,-0.32
1770717600,83.77,85.35,85.49,84.37,84.58,0.81,2016000,499000,0.0,0.0,8.97,8.97,166,-0.85
1770804000,82.56,84.7,84.81,82.9,83.23,0.67,2334000,705000,0.0,0.0,15.77,15.77,318,-1.35
1770890400,82.15,82.98,83.2,81.98,82.73,0.58,2512000,571000,0.0,0.0,7.63,7.63,178,-0.5
1770976800,81.54,82.58,83.01,80.58,82.4,0.86,2796000,951000,0.0,0.0,11.31,11.31,284,-0.33
1771236000,82.91,82.5,83.63,81.68,83.39,0.48,3114000,907000,0.0,0.0,11.37,11.37,318,0.99
1771322400,83.35,83.39,83.99,82.65,83.81,0.46,3820000,1556000,0.0,0.0,22.67,22.67,706,0.42
1771408800,84.61,83.55,85.68,83.3,85.1,0.49,7868000,6574000,0.0,0.0,105.97,105.97,4048,1.29
1771495200,82.98,85.95,86.71,82.85,83.48,0.5,13965000,10602000,0.0,0.0,77.49,77.49,6097,-1.62
1771581600,83.51,83.49,84.35,82.76,83.9,0.39,20167000,10347000,0.0,0.0,44.41,44.41,6202,0.42
1772445600,71.78,71.0,73.69,71.0,72.17,0.39,46212000,11472000,0.0,0.0,129.15,129.15,26045,-11.73
1772618400,70.06,70.52,71.57,69.86,70.26,0.2,48009000,9569000,0.0,0.0,3.89,3.89,1797,-1.91
1772704800,70.4,71.2,71.37,70.15,70.75,0.35,48245000,7749000,0.0,0.0,0.49,0.49,236,0.49
1772791200,69.98,70.57,71.46,70.04,70.23,0.25,49925000,6799000,0.0,0.0,3.48,3.48,1680,-0.52
1773050400,66.76,67.6,68.62,66.13,67.0,0.24,50542000,12379000,0.0,0.0,1.24,1.24,617,-3.23
1773136800,67.27,66.2,67.91,65.63,67.63,0.36,49946000,10156000,0.0,0.0,-1.18,-1.18,-596,0.63
1773223200,66.16,67.8,68.11,65.97,66.26,0.1,50206000,5677000,0.0,0.0,0.52,0.52,260,-1.37
1773309600,64.78,64.9,65.95,64.33,64.98,0.2,50001000,6377000,0.0,0.0,-0.41,-0.41,-205,-1.28
1773396000,62.57,64.4,64.8,62.04,62.73,0.16,46838000,9941000,0.0,0.0,-6.33,-6.33,-3163,-2.25
1773655200,62.81,62.67,63.33,61.46,63.02,0.21,45475000,6408000,0.0,0.0,-2.91,-2.91,-1363,0.29
1773741600,63.66,63.33,63.84,62.46,63.66,0.0,44877000,4183000,0.0,0.0,-1.32,-1.32,-598,0.64
