time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,159.69,163.64,163.64,159.27,161.15,1.46,432000,173000,0.0,0.0,0.0,0.0,0,0.0
1770026400,164.61,162.53,166.67,161.45,166.07,1.46,450000,200000,0.0,0.0,4.17,4.17,18,4.92
1770112800,167.58,167.63,169.38,165.65,168.89,1.31,455000,237000,0.0,0.0,1.11,1.11,5,2.82
1770199200,172.78,168.19,174.98,168.19,174.3,1.52,474000,316000,0.0,0.0,4.18,4.18,19,5.41
1770285600,175.77,176.31,178.95,173.6,177.19,1.42,506000,496000,0.0,0.0,6.75,6.75,32,2.89
1770372000,175.2,178.0,182.0,174.49,176.16,0.96,509000,534000,0.0,0.0,0.59,0.59,3,-1.03
1770631200,176.16,177.92,178.27,176.0,177.53,1.37,523000,234000,0.0,0.0,2.75,2.75,14,1.37
1770717600,178.21,177.35,179.8,176.35,178.97,0.76,544000,293000,0.0,0.0,4.02,4.02,21,1.44
1770804000,181.31,178.76,182.34,178.76,182.04,0.73,633000,559000,0.0,0.0,16.36,16.36,89,3.07
1770890400,178.11,182.04,182.04,176.4,179.05,0.94,668000,572000,0.0,0.0,5.53,5.53,35,-2.99
1770976800,176.77,177.81,178.89,177.0,177.6,0.83,821000,348000,0.0,0.0,22.9,22.9,153,-1.45
1771236000,175.15,176.08,176.67,174.74,176.54,1.39,918000,371000,0.0,0.0,11.81,11.81,97,-1.06
1771322400,175.81,175.6,176.94,173.25,176.76,0.95,1094000,631000,0.0,0.0,19.17,19.17,176,0.22
1771408800,178.74,177.22,179.98,176.9,179.76,1.02,1738000,1226000,0.0,0.0,58.87,58.87,644,3.0
1771495200,174.3,179.0,179.0,174.15,174.94,0.64,5718000,5437000,0.0,0.0,229.0,229.0,3980,-4.82
1771581600,173.79,173.87,175.57,173.01,174.76,0.97,10746000,6556000,0.0,0.0,87.93,87.93,5028,-0.18
1772445600,179.11,181.1,182.1,176.88,179.14,0.03,17741000,7472000,0.0,0.0,65.09,65.09,6995,4.38
1772618400,170.44,175.05,175.46,169.15,169.77,-0.67,17613000,5733000,0.0,0.0,-0.72,-0.72,-128,-9.37
1772704800,171.54,169.7,174.89,168.31,170.99,-0.55,18885000,11260000,0.0,0.0,7.22,7.22,1272,1.22
1772791200,168.68,171.35,173.0,166.55,167.22,-1.46,19431000,4805000,0.0,0.0,2.89,2.89,546,-3.77
1773050400,161.22,155.1,160.93,154.43,160.06,-1.16,19503000,8820000,0.0,0.0,0.37,0.37,72,-7.16
1773136800,159.94,163.47,165.15,157.63,158.46,-1.48,19609000,5360000,0.0,0.0,0.54,0.54,106,-1.6
1773223200,160.63,159.25,161.7,158.18,159.04,-1.59,19921000,4814000,0.0,0.0,1.59,1.59,312,0.58
1773309600,160.16,155.99,162.78,154.23,160.74,0.58,19720000,4424000,0.0,0.0,-1.01,-1.01,-201,1.7
1773396000,156.54,159.8,160.54,156.03,157.0,0.46,19333000,2943000,0.0,0.0,-1.96,-1.96,-387,-3.74
1773655200,148.96,155.12,155.12,147.24,149.4,0.44,19902000,6074000,0.0,0.0,2.94,2.94,569,-7.6
1773741600,146.68,149.9,150.27,145.71,147.04,0.36,19836000,4592000,0.0,0.0,-0.33,-0.33,-66,-2.36
