time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,128.24,129.48,131.5,118.85,120.58,-7.66,1789000,1324000,0.0,0.0,0.0,0.0,0,0.0
1770026400,127.44,122.14,124.93,118.0,123.19,-4.25,1920000,940000,0.0,0.0,7.32,7.32,131,2.61
1770112800,129.54,130.71,132.01,126.01,126.27,-3.27,1921000,685000,0.0,0.0,0.05,0.05,1,3.08
1770199200,131.76,125.19,130.4,125.17,130.2,-1.56,2623000,1975000,0.0,0.0,36.54,36.54,702,3.93
1770285600,129.93,129.5,129.66,126.6,128.52,-1.41,2616000,1356000,0.0,0.0,-0.27,-0.27,-7,-1.68
1770372000,128.29,127.66,127.8,123.96,127.53,-0.76,2937000,2255000,0.0,0.0,12.27,12.27,321,-0.99
1770631200,128.81,128.75,129.5,127.84,128.28,-0.53,3019000,454000,0.0,0.0,2.79,2.79,82,0.75
1770717600,129.28,128.32,129.45,126.84,127.37,-1.91,3438000,1099000,0.0,0.0,13.88,13.88,419,-0.91
1770804000,126.67,127.1,127.35,121.6,123.54,-3.13,4377000,2284000,0.0,0.0,27.31,27.31,939,-3.83
1770890400,125.22,123.75,123.75,119.91,122.57,-2.65,4939000,2767000,0.0,0.0,12.84,12.84,562,-0.97
1770976800,123.56,120.82,120.82,116.9,118.66,-4.9,5555000,2487000,0.0,0.0,12.47,12.47,616,-3.91
1771236000,127.07,117.67,124.75,117.67,124.18,-2.89,5967000,2001000,0.0,0.0,7.42,7.42,412,5.52
1771322400,127.03,123.78,125.35,123.02,125.03,-2.0,6620000,1582000,0.0,0.0,10.94,10.94,653,0.85
1771408800,127.87,125.69,126.33,123.74,125.17,-2.7,8275000,4109000,0.0,0.0,25.0,25.0,1655,0.14
1771495200,125.72,124.75,125.76,121.67,122.63,-3.09,9741000,5751000,0.0,0.0,17.72,17.72,1466,-2.54
1771581600,126.65,122.32,124.75,121.89,123.05,-3.6,13051000,7463000,0.0,0.0,33.98,33.98,3310,0.42
1772445600,115.93,113.3,118.7,112.63,115.31,-0.62,17728000,3816000,0.0,0.0,35.84,35.84,4677,-7.74
1772618400,113.52,112.3,114.49,111.59,113.61,0.09,16882000,3240000,0.0,0.0,-4.77,-4.77,-846,-1.7
1772704800,115.65,114.01,116.25,112.73,115.85,0.2,16804000,2800000,0.0,0.0,-0.46,-0.46,-78,2.24
1772791200,117.28,115.01,120.48,115.01,116.25,-1.03,17082000,4000000,0.0,0.0,1.65,1.65,278,0.4
1773050400,114.35,112.9,114.02,110.43,113.02,-1.33,17116000,2279000,0.0,0.0,0.2,0.2,34,-3.23
1773136800,116.97,115.01,117.57,112.87,117.16,0.19,16564000,2759000,0.0,0.0,-3.23,-3.23,-552,4.14
1773223200,114.8,117.48,118.84,114.38,114.76,-0.04,16486000,1418000,0.0,0.0,-0.47,-0.47,-78,-2.4
1773309600,117.03,113.6,118.67,112.55,116.78,-0.25,16427000,2223000,0.0,0.0,-0.36,-0.36,-59,2.02
1773396000,114.85,116.14,118.4,113.38,113.86,-0.99,16606000,3361000,0.0,0.0,1.09,1.09,179,-2.92
1773655200,115.19,113.74,116.12,111.19,115.08,-0.11,16022000,3558000,0.0,0.0,-3.52,-3.52,-584,1.22
1773741600,116.2,115.25,116.85,113.81,116.37,0.17,15572000,2607000,0.0,0.0,-2.81,-2.81,-450,1.29
