time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,3974.4,3892.6,3940.0,3751.7,3887.1,-87.3,196000,151000,0.0,0.0,0.0,0.0,0,0.0
1770026400,4079.8,3908.5,4009.9,3849.5,3992.5,-87.3,229000,150000,0.0,0.0,16.84,16.84,33,105.4
1770112800,4367,4350.0,4353.0,4188.3,4290.1,-76.9,308000,312000,0.0,0.0,34.5,34.5,79,297.6
1770199200,4423.3,4314.4,4435.0,4314.1,4407.0,-16.3,429000,260000,0.0,0.0,39.29,39.29,121,116.9
1770285600,4443,4372.5,4397.4,4313.2,4381.5,-61.5,722000,438000,0.0,0.0,68.3,68.3,293,-25.5
1770372000,4462.6,4392.2,4439.0,4334.3,4413.6,-49.0,1092000,596000,0.0,0.0,51.25,51.25,370,32.1
1770631200,4599.1,4423.9,4565.0,4415.0,4559.2,-39.9,1178000,279000,0.0,0.0,7.88,7.88,86,145.6
1770717600,4590.6,4548.0,4560.0,4498.5,4547.2,-43.4,1266000,191000,0.0,0.0,7.47,7.47,88,-12.0
1770804000,4605.9,4554.0,4595.0,4551.0,4563.4,-42.5,1340000,219000,0.0,0.0,5.85,5.85,74,16.2
1770890400,4591.3,4563.4,4564.0,4515.0,4549.6,-41.7,1383000,147000,0.0,0.0,3.21,3.21,43,-13.8
1770976800,4566.8,4501.1,4579.9,4475.0,4516.5,-50.3,1386000,174000,0.0,0.0,0.22,0.22,3,-33.1
1771236000,4483.6,4507.4,4531.1,4431.1,4453.3,-30.3,1713000,449000,0.0,0.0,23.59,23.59,327,-63.2
1771322400,4567.8,4434.9,4556.8,4424.0,4547.9,-19.9,1916000,532000,0.0,0.0,11.85,11.85,203,94.6
1771408800,4606.9,4517.7,4616.2,4517.7,4582.5,-24.4,2900000,1401000,0.0,0.0,51.36,51.36,984,34.6
1771495200,4568.6,4617.6,4621.6,4522.5,4553.1,-15.5,5504000,4186000,0.0,0.0,89.79,89.79,2604,-29.4
1771581600,4756,4462.6,4727.9,4462.6,4699.7,-56.3,6832000,4937000,0.0,0.0,24.13,24.13,1328,146.6
1772445600,5206,4948.0,5134.0,4840.0,5103.0,-103.0,9746000,7544000,0.0,0.0,42.65,42.65,2914,403.3
1772618400,4979,4962.0,5094.0,4953.5,4978.5,-0.5,8979000,4605000,0.0,0.0,-7.87,-7.87,-767,-124.5
1772704800,4920.5,5010.0,5037.0,4872.5,4939.0,18.5,8172000,4291000,0.0,0.0,-8.99,-8.99,-807,-39.5
1772791200,4921,4932.0,5015.5,4907.5,4936.0,15.0,7927000,2566000,0.0,0.0,-3.0,-3.0,-245,-3.0
1773050400,4789.5,4878.0,4878.0,4672.0,4810.0,20.5,8343000,3237000,0.0,0.0,5.25,5.25,416,-126.0
1773136800,4537,4872.0,4872.0,4430.0,4547.0,10.0,9075000,6333000,0.0,0.0,8.77,8.77,732,-263.0
1773223200,4321,4547.0,4560.0,4322.0,4336.5,15.5,9655000,5590000,0.0,0.0,6.39,6.39,580,-210.5
1773309600,4330,4319.5,4444.0,4282.0,4335.5,5.5,9798000,4442000,0.0,0.0,1.48,1.48,143,-1.0
1773396000,4158,4293.0,4293.5,4135.5,4163.5,5.5,9850000,4761000,0.0,0.0,0.53,0.53,52,-172.0
1773655200,4174,4125.0,4230.5,4077.5,4184.5,10.5,9949000,2498000,0.0,0.0,1.01,1.01,99,21.0
1773741600,4216.5,4194.5,4234.5,4109.5,4213.5,-3.0,9784000,2508000,0.0,0.0,-1.66,-1.66,-165,29.0
