time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,991.1,1016.7,1019.3,959.9,982.6,-8.5,688000,454000,0.0,0.0,0.0,0.0,0,0.0
1770026400,998.5,986.4,1002.0,975.1,997.0,-1.5,697000,183000,0.0,0.0,1.31,1.31,9,14.4
1770112800,989.8,1030.0,1038.8,985.2,988.0,-1.8,788000,347000,0.0,0.0,13.06,13.06,91,-9.0
1770199200,981.4,960.0,984.3,951.5,980.5,-0.9,881000,564000,0.0,0.0,11.8,11.8,93,-7.5
1770285600,959.5,984.0,984.0,958.8,961.5,2.0,1108000,903000,0.0,0.0,25.77,25.77,227,-19.0
1770372000,958.4,959.9,959.9,940.0,953.6,-4.8,1185000,256000,0.0,0.0,6.95,6.95,77,-7.9
1770631200,964,957.6,971.3,957.6,967.0,3.0,1220000,210000,0.0,0.0,2.95,2.95,35,13.4
1770717600,973.6,969.5,995.4,969.5,975.4,1.8,1229000,290000,0.0,0.0,0.74,0.74,9,8.4
1770804000,959.4,979.9,980.9,958.1,960.9,1.5,1323000,217000,0.0,0.0,7.65,7.65,94,-14.5
1770890400,891.5,957.6,959.1,888.0,892.1,0.6,1733000,1017000,0.0,0.0,30.99,30.99,410,-68.8
1770976800,861.7,872.1,873.6,811.3,864.0,2.3,1945000,1687000,0.0,0.0,12.23,12.23,212,-28.1
1771236000,880.3,862.4,883.9,858.3,879.6,-0.7,2488000,1093000,0.0,0.0,27.92,27.92,543,15.6
1771322400,879.3,878.7,891.8,873.3,878.4,-0.9,2900000,1087000,0.0,0.0,16.56,16.56,412,-1.2
1771408800,861.6,873.4,880.2,856.0,863.5,1.9,3754000,1778000,0.0,0.0,29.45,29.45,854,-14.9
1771495200,847.5,881.9,881.9,844.1,847.2,-0.3,5045000,3736000,0.0,0.0,34.39,34.39,1291,-16.3
1771581600,835.4,844.0,848.4,833.0,836.7,1.3,7214000,6696000,0.0,0.0,42.99,42.99,2169,-10.5
1772445600,754.25,747.45,772.2,743.55,756.45,2.2,13190000,4171000,0.0,0.0,82.84,82.84,5976,-80.25
1772618400,736.15,744.45,756.2,729.1,739.4,3.25,13551000,2961000,0.0,0.0,2.74,2.74,361,-17.05
1772704800,717.5,749.9,749.9,717.0,721.2,3.7,14435000,3847000,0.0,0.0,6.52,6.52,884,-18.2
1772791200,698.55,721.9,745.0,699.2,701.4,2.85,14485000,4833000,0.0,0.0,0.35,0.35,50,-19.8
1773050400,688.9,690.0,694.45,673.25,690.3,1.4,17370000,8567000,0.0,0.0,19.92,19.92,2885,-11.1
1773136800,693.25,693.65,703.85,685.0,697.0,3.75,17126000,3071000,0.0,0.0,-1.4,-1.4,-244,6.7
1773223200,682.75,695.0,709.45,681.05,684.35,1.6,16945000,3284000,0.0,0.0,-1.06,-1.06,-181,-12.65
1773309600,671.25,682.8,686.5,665.0,671.85,0.6,17181000,2268000,0.0,0.0,1.39,1.39,236,-12.5
1773396000,660.15,670.0,671.8,653.8,662.15,2.0,17174000,4763000,0.0,0.0,-0.04,-0.04,-7,-9.7
1773655200,631.95,659.5,664.6,631.35,634.35,2.4,19243000,5895000,0.0,0.0,12.05,12.05,2069,-27.8
1773741600,653.7,637.0,657.35,626.1,653.65,-0.05,18234000,6510000,0.0,0.0,-5.24,-5.24,-1009,19.3
