time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,507.6,529.0,533.65,503.05,511.75,4.15,528000,222000,0.0,0.0,0.0,0.0,0,0.0
1770026400,496.35,511.75,512.5,493.0,502.3,5.95,648000,389000,0.0,0.0,22.73,22.73,120,-9.45
1770112800,509.2,520.4,520.4,508.05,514.45,5.25,744000,326000,0.0,0.0,14.81,14.81,96,12.15
1770199200,515.7,515.0,522.85,515.0,521.25,5.55,769000,290000,0.0,0.0,3.36,3.36,25,6.8
1770285600,515.5,520.65,525.65,519.0,521.55,6.05,1227000,642000,0.0,0.0,59.56,59.56,458,0.3
1770372000,518.1,519.15,527.45,515.7,524.4,6.3,1242000,291000,0.0,0.0,1.22,1.22,15,2.85
1770631200,523.65,524.7,531.75,521.4,528.65,5.0,1454000,482000,0.0,0.0,17.07,17.07,212,4.25
1770717600,522.55,528.2,531.5,525.4,526.95,4.4,1519000,201000,0.0,0.0,4.47,4.47,65,-1.7
1770804000,525.55,525.85,529.5,522.5,529.2,3.65,1827000,612000,0.0,0.0,20.28,20.28,308,2.25
1770890400,517.1,527.05,527.4,519.2,521.05,3.95,2047000,414000,0.0,0.0,12.04,12.04,220,-8.15
1770976800,507.65,516.5,517.0,510.0,511.05,3.4,2174000,290000,0.0,0.0,6.2,6.2,127,-10.0
1771236000,511.15,508.8,516.95,506.75,515.65,4.5,3064000,1213000,0.0,0.0,40.94,40.94,890,4.6
1771322400,518.85,514.95,525.0,513.8,522.55,3.7,4616000,1909000,0.0,0.0,50.65,50.65,1552,6.9
1771408800,522.15,523.05,527.75,521.75,526.1,3.95,6654000,3115000,0.0,0.0,44.15,44.15,2038,3.55
1771495200,520.05,527.25,535.95,520.1,523.9,3.85,11798000,7072000,0.0,0.0,77.31,77.31,5144,-2.2
1771581600,524.55,522.5,533.85,521.1,528.05,3.5,19432000,12200000,0.0,0.0,64.71,64.71,7634,4.15
1772445600,527.95,530.65,535.9,522.9,529.65,1.7,27583000,3054000,0.0,0.0,41.95,41.95,8151,1.6
1772618400,518,524.1,524.9,512.9,518.85,0.85,27891000,3031000,0.0,0.0,1.12,1.12,308,-10.8
1772704800,521.4,523.85,525.25,515.4,523.65,2.25,27891000,3094000,0.0,0.0,0.0,0.0,0,4.8
1772791200,511.8,520.05,527.2,512.55,513.65,1.85,27945000,1771000,0.0,0.0,0.19,0.19,54,-10.0
1773050400,500.2,503.8,503.8,491.0,501.75,1.55,27756000,3711000,0.0,0.0,-0.68,-0.68,-189,-11.9
1773136800,512.5,509.4,517.65,506.15,515.3,2.8,26897000,2592000,0.0,0.0,-3.09,-3.09,-859,13.55
1773223200,505.4,517.4,523.3,503.95,506.25,0.85,27135000,1877000,0.0,0.0,0.88,0.88,238,-9.05
1773309600,498.5,498.25,508.4,494.5,500.65,2.15,27774000,2339000,0.0,0.0,2.35,2.35,639,-5.6
1773396000,496.6,493.8,505.9,492.05,498.15,1.55,27934000,3295000,0.0,0.0,0.58,0.58,160,-2.5
1773655200,501.5,498.3,505.45,490.5,502.6,1.1,26736000,3882000,0.0,0.0,-4.29,-4.29,-1198,4.45
1773741600,498.9,501.05,502.05,489.05,500.05,1.15,26536000,2388000,0.0,0.0,-0.75,-0.75,-200,-2.55
