time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,3814,3985.7,4072.4,3786.7,3842.7,28.7,6909000,1225000,0.0,0.0,0.0,0.0,0,0.0
1770026400,3921.3,3890.0,3962.0,3888.8,3952.4,31.1,6913000,441000,0.0,0.0,0.06,0.06,4,109.7
1770112800,4038.8,4091.4,4138.2,4060.7,4077.1,38.3,7143000,920000,0.0,0.0,3.33,3.33,230,124.7
1770199200,4087.1,4081.9,4137.0,4081.9,4120.0,32.9,7360000,534000,0.0,0.0,3.04,3.04,217,42.9
1770285600,4063.3,4113.2,4113.2,4075.0,4095.8,32.5,7368000,333000,0.0,0.0,0.11,0.11,8,-24.2
1770372000,4068.1,4092.1,4109.9,4080.0,4099.2,31.1,7402000,235000,0.0,0.0,0.46,0.46,34,3.4
1770631200,4113.6,4113.1,4156.3,4110.3,4142.2,28.6,7468000,384000,0.0,0.0,0.89,0.89,66,43.0
1770717600,4169,4159.0,4198.5,4151.3,4195.0,26.0,7552000,583000,0.0,0.0,1.12,1.12,84,52.8
1770804000,4170.4,4205.0,4220.3,4171.0,4197.2,26.8,7651000,430000,0.0,0.0,1.31,1.31,99,2.2
1770890400,4185.9,4209.6,4224.8,4190.0,4209.4,23.5,7780000,670000,0.0,0.0,1.69,1.69,129,12.2
1770976800,4173.9,4206.3,4221.2,4164.3,4198.4,24.5,8102000,1057000,0.0,0.0,4.14,4.14,322,-11.0
1771236000,4201.5,4163.3,4234.9,4163.3,4229.8,28.3,8785000,1051000,0.0,0.0,8.43,8.43,683,31.4
1771322400,4279.8,4233.7,4308.0,4220.0,4302.1,22.3,10288000,2880000,0.0,0.0,17.11,17.11,1503,72.3
1771408800,4325.9,4305.0,4350.0,4283.2,4340.7,14.8,14632000,7054000,0.0,0.0,42.22,42.22,4344,38.6
1771495200,4280.5,4350.0,4350.0,4290.0,4296.8,16.3,28998000,18483000,0.0,0.0,98.18,98.18,14366,-43.9
1771581600,4380.6,4274.0,4412.0,4274.0,4396.7,16.1,47582000,26359000,0.0,0.0,64.09,64.09,18584,99.9
1772445600,4066.7,4055.0,4158.0,3993.1,4074.3,7.6,75379000,28246000,0.0,0.0,58.42,58.42,27797,-322.4
1772618400,3882.6,3915.0,3949.8,3778.0,3888.8,6.2,76086000,31006000,0.0,0.0,0.94,0.94,707,-185.5
1772704800,4038.7,3923.8,4077.9,3914.4,4039.9,1.2,75330000,34682000,0.0,0.0,-0.99,-0.99,-756,151.1
1772791200,3949.8,4003.0,4014.0,3941.1,3950.6,0.8,75598000,16644000,0.0,0.0,0.36,0.36,268,-89.3
1773050400,3842.1,3822.0,3868.3,3745.3,3856.6,14.5,76381000,21494000,0.0,0.0,1.04,1.04,783,-94.0
1773136800,3876,3940.0,3988.0,3863.3,3893.8,17.8,75489000,15013000,0.0,0.0,-1.17,-1.17,-892,37.2
1773223200,3838.8,3897.0,3906.8,3835.3,3843.2,4.4,75030000,9885000,0.0,0.0,-0.61,-0.61,-459,-50.6
1773309600,3719.5,3809.0,3824.0,3718.3,3730.9,11.4,77807000,16932000,0.0,0.0,3.7,3.7,2777,-112.3
1773396000,3439,3700.0,3705.1,3434.1,3449.4,10.4,88129000,37651000,0.0,0.0,13.27,13.27,10322,-281.5
1773655200,3469.4,3452.0,3505.0,3408.0,3478.0,8.6,92007000,27895000,0.0,0.0,4.4,4.4,3878,28.6
1773741600,3542.8,3480.8,3554.9,3456.4,3547.5,4.7,90619000,17729000,0.0,0.0,-1.51,-1.51,-1388,69.5
