time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,269.9,273.75,286.95,269.85,271.85,1.95,165000,257000,0.0,0.0,0.0,0.0,0,0.0
1770026400,279.4,269.15,284.5,264.2,282.6,3.2,184000,241000,0.0,0.0,11.52,11.52,19,10.75
1770112800,291.25,293.05,294.25,285.35,292.65,1.4,214000,216000,0.0,0.0,16.3,16.3,30,10.05
1770199200,293.65,293.5,298.2,293.5,296.35,2.7,214000,95000,0.0,0.0,0.0,0.0,0,3.7
1770285600,294.75,289.5,298.05,287.75,297.1,2.35,231000,129000,0.0,0.0,7.94,7.94,17,0.75
1770372000,300.9,293.95,305.0,286.45,303.35,2.45,252000,216000,0.0,0.0,9.09,9.09,21,6.25
1770631200,306.7,305.75,310.5,303.3,308.7,2.0,271000,233000,0.0,0.0,7.54,7.54,19,5.35
1770717600,308.95,307.35,315.95,305.45,310.55,1.6,302000,244000,0.0,0.0,11.44,11.44,31,1.85
1770804000,302.55,308.45,314.05,303.35,304.85,2.3,307000,525000,0.0,0.0,1.66,1.66,5,-5.7
1770890400,308.65,305.25,311.75,302.55,310.9,2.25,330000,211000,0.0,0.0,7.49,7.49,23,6.05
1770976800,302.65,304.75,307.45,298.85,304.55,1.9,359000,320000,0.0,0.0,8.79,8.79,29,-6.35
1771236000,303.75,305.0,307.35,296.6,306.25,2.5,494000,704000,0.0,0.0,37.6,37.6,135,1.7
1771322400,306.55,304.8,311.9,301.2,308.8,2.25,1017000,1029000,0.0,0.0,105.87,105.87,523,2.55
1771408800,310.15,309.15,313.25,308.4,311.9,1.75,2174000,2048000,0.0,0.0,113.77,113.77,1157,3.1
1771495200,305.7,311.1,311.6,305.3,306.95,1.25,3726000,3439000,0.0,0.0,71.39,71.39,1552,-4.95
1771581600,306.5,303.1,310.0,303.1,308.55,2.05,8489000,6487000,0.0,0.0,127.83,127.83,4763,1.6
1772445600,282,283.15,288.6,277.7,283.25,1.25,16170000,3739000,0.0,0.0,90.48,90.48,7681,-25.3
1772618400,269.25,274.2,279.5,269.25,270.55,1.3,16441000,3909000,0.0,0.0,1.68,1.68,271,-12.7
1772704800,267.3,273.5,273.7,264.2,268.6,1.3,16897000,2001000,0.0,0.0,2.77,2.77,456,-1.95
1772791200,262.75,269.45,271.4,262.5,263.65,0.9,17270000,2369000,0.0,0.0,2.21,2.21,373,-4.95
1773050400,256.85,254.8,259.15,250.45,258.25,1.4,17297000,3763000,0.0,0.0,0.16,0.16,27,-5.4
1773136800,261.8,262.4,266.7,259.3,263.25,1.45,17449000,3899000,0.0,0.0,0.88,0.88,152,5.0
1773223200,258,265.4,270.0,257.05,258.2,0.2,17949000,2922000,0.0,0.0,2.87,2.87,500,-5.05
1773309600,255.55,254.05,260.5,253.75,256.4,0.85,18548000,2666000,0.0,0.0,3.34,3.34,599,-1.8
1773396000,256.1,255.15,258.7,252.45,256.5,0.4,18543000,3855000,0.0,0.0,-0.03,-0.03,-5,0.1
1773655200,251.2,256.1,257.25,247.65,251.9,0.7,17531000,4468000,0.0,0.0,-5.46,-5.46,-1012,-4.6
1773741600,256.85,253.85,260.7,250.3,257.2,0.35,17502000,3817000,0.0,0.0,-0.17,-0.17,-29,5.3
