time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,2394.5,2573.9,2679.8,2332.4,2409.1,14.6,1036000,1635000,0.0,0.0,0.0,0.0,0,0.0
1770026400,2427.4,2419.1,2464.9,2348.2,2453.5,26.1,995000,900000,0.0,0.0,-3.96,-3.96,-41,44.4
1770112800,2450.4,2522.0,2568.1,2451.0,2462.3,11.9,1037000,346000,0.0,0.0,4.22,4.22,42,8.8
1770199200,2431,2437.3,2462.9,2413.0,2447.9,16.9,1231000,1047000,0.0,0.0,18.71,18.71,194,-14.4
1770285600,2398.4,2417.0,2421.3,2354.8,2412.6,14.2,1415000,628000,0.0,0.0,14.95,14.95,184,-35.3
1770372000,2402.4,2422.0,2445.0,2363.2,2414.6,12.2,1496000,586000,0.0,0.0,5.72,5.72,81,2.0
1770631200,2472.5,2435.5,2512.0,2435.5,2487.1,14.6,1531000,785000,0.0,0.0,2.34,2.34,35,72.5
1770717600,2439.1,2491.7,2520.0,2431.0,2441.8,2.7,1878000,858000,0.0,0.0,22.66,22.66,347,-45.3
1770804000,2430.6,2441.8,2450.9,2405.1,2443.4,12.8,1980000,373000,0.0,0.0,5.43,5.43,102,1.6
1770890400,2414.9,2415.3,2439.3,2400.0,2422.2,7.3,2122000,633000,0.0,0.0,7.17,7.17,142,-21.2
1770976800,2350.2,2405.2,2405.8,2351.0,2361.6,11.4,2467000,776000,0.0,0.0,16.26,16.26,345,-60.6
1771236000,2357.5,2345.0,2382.0,2324.7,2379.3,21.8,2587000,833000,0.0,0.0,4.86,4.86,120,17.7
1771322400,2367.8,2380.2,2398.2,2365.0,2385.5,17.7,3006000,942000,0.0,0.0,16.2,16.2,419,6.2
1771408800,2388.6,2382.0,2419.0,2356.0,2406.8,18.2,3680000,1698000,0.0,0.0,22.42,22.42,674,21.3
1771495200,2343.3,2424.0,2431.0,2333.3,2351.1,7.8,7251000,7231000,0.0,0.0,97.04,97.04,3571,-55.7
1771581600,2360.2,2351.1,2421.3,2339.4,2376.5,16.3,10820000,6784000,0.0,0.0,49.22,49.22,3569,25.4
1772445600,2209.8,2185.1,2286.7,2172.0,2221.7,11.9,20429000,5219000,0.0,0.0,88.81,88.81,9609,-154.8
1772618400,2165.4,2200.0,2220.2,2120.8,2172.4,7.0,20710000,4064000,0.0,0.0,1.38,1.38,281,-49.3
1772704800,2352.5,2187.3,2422.3,2187.3,2359.4,6.9,20431000,24711000,0.0,0.0,-1.35,-1.35,-279,187.0
1772791200,2471.9,2398.0,2569.9,2380.0,2475.0,3.1,19730000,28171000,0.0,0.0,-3.43,-3.43,-701,115.6
1773050400,2387,2455.0,2480.2,2345.7,2398.0,11.0,19124000,9619000,0.0,0.0,-3.07,-3.07,-606,-77.0
1773136800,2482.1,2460.0,2512.0,2361.4,2496.0,13.9,19425000,10702000,0.0,0.0,1.57,1.57,301,98.0
1773223200,2436.1,2532.4,2545.0,2430.1,2437.8,1.7,19965000,7003000,0.0,0.0,2.78,2.78,540,-58.2
1773309600,2443.3,2425.0,2475.0,2385.1,2460.2,16.9,21495000,9239000,0.0,0.0,7.66,7.66,1530,22.4
1773396000,2328,2425.1,2441.9,2320.5,2327.0,-1.0,21741000,6986000,0.0,0.0,1.14,1.14,246,-133.2
1773655200,2331.8,2332.0,2355.5,2267.2,2336.8,5.0,21040000,5630000,0.0,0.0,-3.22,-3.22,-701,9.8
1773741600,2362.3,2340.0,2378.4,2308.0,2369.2,6.9,20913000,3949000,0.0,0.0,-0.6,-0.6,-127,32.4
