time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,2233.3,2307.0,2319.0,2089.7,2248.0,14.7,733000,2107000,0.0,0.0,0.0,0.0,0,0.0
1770026400,2321.8,2220.0,2372.0,2172.2,2349.0,27.2,683000,897000,0.0,0.0,-6.82,-6.82,-50,101.0
1770112800,2434.1,2540.0,2581.1,2410.0,2458.9,24.8,713000,857000,0.0,0.0,4.39,4.39,30,109.9
1770199200,2543.3,2484.2,2572.7,2481.7,2562.4,19.1,668000,689000,0.0,0.0,-6.31,-6.31,-45,103.5
1770285600,2410.4,2461.0,2493.7,2420.0,2437.7,27.3,745000,592000,0.0,0.0,11.53,11.53,77,-124.7
1770372000,2380.4,2406.8,2419.0,2350.0,2403.7,23.3,883000,591000,0.0,0.0,18.52,18.52,138,-34.0
1770631200,2434.9,2459.7,2475.0,2412.6,2457.9,23.0,838000,525000,0.0,0.0,-5.1,-5.1,-45,54.2
1770717600,2470.7,2457.9,2510.0,2457.9,2486.2,15.5,859000,650000,0.0,0.0,2.51,2.51,21,28.3
1770804000,2372.8,2470.1,2470.1,2369.0,2386.0,13.2,1253000,1196000,0.0,0.0,45.87,45.87,394,-100.2
1770890400,2441.9,2364.4,2468.0,2356.9,2463.2,21.3,1126000,1042000,0.0,0.0,-10.14,-10.14,-127,77.2
1770976800,2340.6,2463.2,2463.2,2337.4,2354.3,13.7,1411000,1173000,0.0,0.0,25.31,25.31,285,-108.9
1771236000,2339.7,2241.9,2374.4,2183.7,2359.9,20.2,1684000,2315000,0.0,0.0,19.35,19.35,273,5.6
1771322400,2283.2,2346.4,2357.2,2290.0,2301.4,18.2,2325000,1918000,0.0,0.0,38.06,38.06,641,-58.5
1771408800,2341.3,2304.0,2366.8,2304.0,2358.6,17.3,3622000,3338000,0.0,0.0,55.78,55.78,1297,57.2
1771495200,2361.2,2423.5,2450.0,2365.3,2374.1,12.9,8054000,8639000,0.0,0.0,122.36,122.36,4432,15.5
1771581600,2395.9,2390.8,2436.0,2380.0,2406.5,10.6,12026000,7788000,0.0,0.0,49.32,49.32,3972,32.4
1772445600,2501.2,2480.0,2546.8,2429.4,2514.7,13.5,19438000,11202000,0.0,0.0,61.63,61.63,7412,108.2
1772618400,2478.5,2501.0,2508.9,2436.8,2488.9,10.4,19430000,8143000,0.0,0.0,-0.04,-0.04,-8,-25.8
1772704800,2553.5,2518.0,2578.0,2510.4,2561.0,7.5,19135000,8836000,0.0,0.0,-1.52,-1.52,-295,72.1
1772791200,2533.9,2561.0,2594.0,2530.0,2540.1,6.2,18786000,4649000,0.0,0.0,-1.82,-1.82,-349,-20.9
1773050400,2577.1,2489.8,2596.0,2450.0,2589.3,12.2,19203000,10399000,0.0,0.0,2.22,2.22,417,49.2
1773136800,2578.2,2620.0,2632.9,2571.2,2590.4,12.2,19842000,6628000,0.0,0.0,3.33,3.33,639,1.1
1773223200,2531.6,2589.5,2617.0,2528.1,2537.9,6.3,19932000,4885000,0.0,0.0,0.45,0.45,90,-52.5
1773309600,2526.1,2520.0,2551.4,2473.5,2534.7,8.6,20058000,4894000,0.0,0.0,0.63,0.63,126,-3.2
1773396000,2498.8,2522.8,2549.0,2466.7,2499.3,0.5,19733000,5471000,0.0,0.0,-1.62,-1.62,-325,-35.4
1773655200,2555.6,2469.8,2585.0,2443.0,2564.1,8.5,20623000,9020000,0.0,0.0,4.51,4.51,890,64.8
1773741600,2671.8,2589.7,2685.0,2572.9,2675.4,3.6,20648000,7920000,0.0,0.0,0.12,0.12,25,111.3
