time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,111.88,113.69,116.0,111.16,112.94,1.06,480000,332000,0.0,0.0,0.0,0.0,0,0.0
1770026400,114.09,111.07,116.19,110.85,115.51,1.42,473000,241000,0.0,0.0,-1.46,-1.46,-7,2.57
1770112800,121.32,125.0,125.0,120.3,122.28,0.96,484000,528000,0.0,0.0,2.33,2.33,11,6.77
1770199200,122.62,121.04,124.49,120.71,123.87,1.25,453000,236000,0.0,0.0,-6.4,-6.4,-31,1.59
1770285600,120.99,122.51,123.43,121.43,122.12,1.13,457000,123000,0.0,0.0,0.88,0.88,4,-1.75
1770372000,118.1,119.56,119.99,116.86,118.9,0.8,484000,348000,0.0,0.0,5.91,5.91,27,-3.22
1770631200,124.41,120.31,125.91,120.2,125.56,1.15,498000,621000,0.0,0.0,2.89,2.89,14,6.66
1770717600,129.43,125.56,132.66,124.41,130.56,1.13,536000,1218000,0.0,0.0,7.63,7.63,38,5.0
1770804000,130.17,133.87,136.66,130.84,131.12,0.95,596000,1065000,0.0,0.0,11.19,11.19,60,0.56
1770890400,132.74,130.17,134.8,130.01,133.57,0.83,647000,512000,0.0,0.0,8.56,8.56,51,2.45
1770976800,131.26,132.99,134.46,131.5,131.85,0.59,672000,353000,0.0,0.0,3.86,3.86,25,-1.72
1771236000,132.31,130.41,133.69,130.41,132.98,0.67,770000,323000,0.0,0.0,14.58,14.58,98,1.13
1771322400,132.66,132.94,134.75,132.1,133.31,0.65,914000,569000,0.0,0.0,18.7,18.7,144,0.33
1771408800,133.92,133.74,136.31,132.6,134.63,0.71,2604000,3001000,0.0,0.0,184.9,184.9,1690,1.32
1771495200,129.88,135.0,135.0,130.29,130.7,0.82,7553000,6832000,0.0,0.0,190.05,190.05,4949,-3.93
1771581600,129.42,131.69,132.67,129.73,130.14,0.72,12845000,7561000,0.0,0.0,70.06,70.06,5292,-0.56
1772445600,128.65,131.44,132.4,125.47,128.53,-0.12,23470000,6017000,0.0,0.0,82.72,82.72,10625,-1.61
1772618400,122.88,124.25,124.68,121.86,123.44,0.56,22857000,4117000,0.0,0.0,-2.61,-2.61,-613,-5.09
1772704800,126.34,124.3,127.46,123.5,126.52,0.18,22201000,5300000,0.0,0.0,-2.87,-2.87,-656,3.08
1772791200,122.77,125.98,126.74,122.24,122.55,-0.22,22028000,2400000,0.0,0.0,-0.78,-0.78,-173,-3.97
1773050400,117.98,113.0,119.0,113.0,118.13,0.15,21547000,4002000,0.0,0.0,-2.18,-2.18,-481,-4.42
1773136800,123.41,120.9,123.4,119.27,123.23,-0.18,21212000,5807000,0.0,0.0,-1.55,-1.55,-335,5.1
1773223200,121.39,123.54,125.76,120.6,121.0,-0.39,20786000,4639000,0.0,0.0,-2.01,-2.01,-426,-2.23
1773309600,120.17,119.71,120.49,116.21,119.63,-0.54,19894000,5825000,0.0,0.0,-4.29,-4.29,-892,-1.37
1773396000,113.82,117.84,119.04,112.7,113.15,-0.67,20128000,4696000,0.0,0.0,1.18,1.18,234,-6.48
1773655200,113.32,113.18,114.43,110.31,113.21,-0.11,20291000,7286000,0.0,0.0,0.81,0.81,163,0.06
1773741600,115.83,114.51,115.68,112.77,115.11,-0.72,20808000,4061000,0.0,0.0,2.55,2.55,517,1.9
