time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,1246.3,1339.9,1362.7,1223.8,1242.7,-3.6,99000,306000,0.0,0.0,0.0,0.0,0,0.0
1770026400,1283.2,1274.6,1290.3,1241.8,1285.8,2.6,149000,184000,0.0,0.0,50.51,50.51,50,43.1
1770112800,1361.5,1390.0,1390.0,1350.7,1363.2,1.7,168000,146000,0.0,0.0,12.75,12.75,19,77.4
1770199200,1391.9,1354.8,1394.9,1354.8,1392.4,0.5,162000,61000,0.0,0.0,-3.57,-3.57,-6,29.2
1770285600,1379.6,1377.3,1385.5,1368.0,1383.6,4.0,174000,40000,0.0,0.0,7.41,7.41,12,-8.8
1770372000,1354,1356.0,1365.8,1331.9,1356.7,2.7,173000,19000,0.0,0.0,-0.57,-0.57,-1,-26.9
1770631200,1385.6,1397.1,1403.4,1389.8,1390.9,5.3,178000,31000,0.0,0.0,2.89,2.89,5,34.2
1770717600,1386,1382.0,1410.0,1378.0,1386.6,0.6,194000,122000,0.0,0.0,8.99,8.99,16,-4.3
1770804000,1324.2,1384.7,1393.9,1310.0,1326.3,2.1,257000,229000,0.0,0.0,32.47,32.47,63,-60.3
1770890400,1310.5,1313.0,1343.2,1300.0,1309.6,-0.9,292000,206000,0.0,0.0,13.62,13.62,35,-16.7
1770976800,1299.7,1295.4,1319.7,1284.7,1301.8,2.1,320000,118000,0.0,0.0,9.59,9.59,28,-7.8
1771236000,1287.3,1247.4,1292.0,1236.0,1289.3,2.0,449000,422000,0.0,0.0,40.31,40.31,129,-12.5
1771322400,1290.8,1288.1,1299.8,1266.5,1292.6,1.8,495000,213000,0.0,0.0,10.24,10.24,46,3.3
1771408800,1317.2,1307.2,1319.2,1296.4,1310.4,-6.8,863000,763000,0.0,0.0,74.34,74.34,368,17.8
1771495200,1293.6,1302.7,1314.4,1275.1,1284.9,-8.7,1381000,1389000,0.0,0.0,60.02,60.02,518,-25.5
1771581600,1289.8,1281.1,1308.3,1276.5,1286.0,-3.8,2095000,2432000,0.0,0.0,51.7,51.7,714,1.1
1772445600,1206.5,1208.8,1243.8,1192.0,1213.2,6.7,3731000,1895000,0.0,0.0,78.09,78.09,1636,-72.8
1772618400,1196.5,1205.1,1210.0,1175.8,1192.6,-3.9,3753000,2360000,0.0,0.0,0.59,0.59,22,-20.6
1772704800,1238.1,1201.8,1239.0,1195.1,1231.8,-6.3,3896000,1455000,0.0,0.0,3.81,3.81,143,39.2
1772791200,1225.1,1230.4,1254.8,1210.0,1213.8,-11.3,4070000,935000,0.0,0.0,4.47,4.47,174,-18.0
1773050400,1208.4,1202.6,1202.8,1165.9,1197.8,-10.6,4048000,1381000,0.0,0.0,-0.54,-0.54,-22,-16.0
1773136800,1238,1223.9,1242.9,1213.2,1238.6,0.6,3989000,964000,0.0,0.0,-1.46,-1.46,-59,40.8
1773223200,1212.5,1236.4,1239.0,1206.9,1211.1,-1.4,4052000,878000,0.0,0.0,1.58,1.58,63,-27.5
1773309600,1183.8,1195.9,1211.7,1174.5,1188.4,4.6,4105000,1136000,0.0,0.0,1.31,1.31,53,-22.7
1773396000,1158.6,1170.7,1186.0,1155.2,1162.0,3.4,3859000,1505000,0.0,0.0,-5.99,-5.99,-246,-26.4
1773655200,1158.8,1145.1,1174.9,1140.0,1163.1,4.3,3833000,1270000,0.0,0.0,-0.67,-0.67,-26,1.1
1773741600,1157.4,1155.6,1174.0,1153.7,1161.5,4.1,3816000,1137000,0.0,0.0,-0.44,-0.44,-17,-1.6
