time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,240.33,241.5,244.43,236.99,240.45,0.12,111000,30000,0.0,0.0,0.0,0.0,0,0.0
1770026400,237.62,237.75,238.96,235.48,238.16,0.54,114000,53000,0.0,0.0,2.7,2.7,3,-2.29
1770112800,245.41,246.74,248.96,244.07,245.73,0.32,125000,95000,0.0,0.0,9.65,9.65,11,7.57
1770199200,251.03,244.96,252.27,243.85,251.28,0.25,140000,94000,0.0,0.0,12.0,12.0,15,5.55
1770285600,258.29,254.41,263.69,254.41,259.87,1.58,174000,230000,0.0,0.0,24.29,24.29,34,8.59
1770372000,276.99,267.0,278.68,266.0,278.06,1.07,281000,753000,0.0,0.0,61.49,61.49,107,18.19
1770631200,277.86,280.0,282.51,275.0,278.8,0.94,333000,248000,0.0,0.0,18.51,18.51,52,0.74
1770717600,280.69,277.67,284.22,276.5,282.17,1.48,443000,322000,0.0,0.0,33.03,33.03,110,3.37
1770804000,277.54,283.0,286.25,277.42,278.66,1.12,466000,191000,0.0,0.0,5.19,5.19,23,-3.51
1770890400,280.14,276.75,283.0,276.71,281.31,1.17,547000,406000,0.0,0.0,17.38,17.38,81,2.65
1770976800,270.95,279.72,280.42,271.75,272.74,1.79,660000,459000,0.0,0.0,20.66,20.66,113,-8.57
1771236000,275.21,272.58,278.78,272.51,276.51,1.3,808000,313000,0.0,0.0,22.42,22.42,148,3.77
1771322400,271.31,273.88,276.04,270.56,273.34,2.03,1192000,699000,0.0,0.0,47.52,47.52,384,-3.17
1771408800,272.42,272.08,275.13,271.54,274.51,2.09,1502000,630000,0.0,0.0,26.01,26.01,310,1.17
1771495200,267.46,275.74,275.74,268.0,269.0,1.54,4897000,4346000,0.0,0.0,226.03,226.03,3395,-5.51
1771581600,265.58,267.01,270.65,265.75,267.37,1.79,8667000,4984000,0.0,0.0,76.99,76.99,3770,-1.63
1772445600,259.1,260.25,265.65,255.75,259.95,0.85,14286000,2437000,0.0,0.0,64.83,64.83,5619,-7.42
1772618400,255.7,254.0,257.8,250.45,256.25,0.55,14347000,1710000,0.0,0.0,0.43,0.43,61,-3.7
1772704800,260.8,258.65,262.05,254.8,261.3,0.5,14305000,1333000,0.0,0.0,-0.29,-0.29,-42,5.05
1772791200,254.8,259.15,263.25,253.9,255.05,0.25,14139000,1420000,0.0,0.0,-1.16,-1.16,-166,-6.25
1773050400,249.7,240.2,251.1,240.2,250.5,0.8,14209000,1380000,0.0,0.0,0.5,0.5,70,-4.55
1773136800,256.8,252.35,258.75,251.0,257.6,0.8,13871000,1521000,0.0,0.0,-2.38,-2.38,-338,7.1
1773223200,251.7,258.1,259.65,251.95,252.85,1.15,13773000,1627000,0.0,0.0,-0.71,-0.71,-98,-4.75
1773309600,244.95,246.05,250.95,244.2,245.85,0.9,13722000,1157000,0.0,0.0,-0.37,-0.37,-51,-7.0
1773396000,238.15,244.8,246.0,235.65,238.25,0.1,13720000,1661000,0.0,0.0,-0.01,-0.01,-2,-7.6
1773655200,237,237.7,241.95,233.1,237.7,0.7,13899000,1761000,0.0,0.0,1.3,1.3,179,-0.55
1773741600,240,239.85,243.0,235.0,239.95,-0.05,14665000,2034000,0.0,0.0,5.51,5.51,766,2.25
