time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,381.5,373.6,398.95,368.05,379.45,-2.05,4904000,2550000,0.0,0.0,0.0,0.0,0,0.0
1770026400,385.65,378.05,387.0,369.75,381.85,-3.8,6203000,2816000,0.0,0.0,26.49,26.49,1299,2.4
1770112800,392.6,392.7,393.2,384.5,390.85,-1.75,5927000,1811000,0.0,0.0,-4.45,-4.45,-276,9.0
1770199200,414.6,390.0,414.1,388.15,412.95,-1.65,6192000,2632000,0.0,0.0,4.47,4.47,265,22.1
1770285600,415,413.1,417.1,403.0,412.0,-3.0,7275000,4336000,0.0,0.0,17.49,17.49,1083,-0.95
1770372000,419.2,410.2,417.0,403.15,415.75,-3.45,7155000,1872000,0.0,0.0,-1.65,-1.65,-120,3.75
1770631200,415.2,423.45,427.2,402.15,411.9,-3.3,7197000,2698000,0.0,0.0,0.59,0.59,42,-3.85
1770717600,413.25,411.25,415.35,405.0,410.25,-3.0,7667000,2242000,0.0,0.0,6.53,6.53,470,-1.65
1770804000,415.85,410.55,413.95,408.1,412.9,-2.95,7762000,806000,0.0,0.0,1.24,1.24,95,2.65
1770890400,410.55,413.2,417.15,404.8,407.95,-2.6,8046000,1253000,0.0,0.0,3.66,3.66,284,-4.95
1770976800,400.55,404.25,404.25,397.05,398.1,-2.45,8414000,1342000,0.0,0.0,4.57,4.57,368,-9.85
1771236000,411.8,395.75,410.75,394.0,409.4,-2.4,8852000,1973000,0.0,0.0,5.21,5.21,438,11.3
1771322400,416.95,408.9,415.75,406.4,415.25,-1.7,13173000,6376000,0.0,0.0,48.81,48.81,4321,5.85
1771408800,420.45,417.0,421.9,415.25,417.8,-2.65,14373000,2825000,0.0,0.0,9.11,9.11,1200,2.55
1771495200,409.55,417.8,417.8,403.3,405.75,-3.8,22440000,10884000,0.0,0.0,56.13,56.13,8067,-12.05
1771581600,410.1,404.9,410.7,404.9,409.15,-0.95,30007000,11786000,0.0,0.0,33.72,33.72,7567,3.4
1772445600,406.2,403.5,410.5,397.95,405.6,-0.6,43148000,6533000,0.0,0.0,43.79,43.79,13141,-3.55
1772618400,396.55,396.0,402.0,389.75,395.05,-1.5,42445000,8334000,0.0,0.0,-1.63,-1.63,-703,-10.55
1772704800,413.65,399.9,416.4,395.6,414.3,0.65,43088000,10417000,0.0,0.0,1.51,1.51,643,19.25
1772791200,407.85,412.45,425.8,405.1,406.5,-1.35,42123000,9754000,0.0,0.0,-2.24,-2.24,-965,-7.8
1773050400,392.8,395.0,398.0,382.7,390.75,-2.05,40763000,10031000,0.0,0.0,-3.23,-3.23,-1360,-15.75
1773136800,412.15,397.95,413.0,395.0,411.05,-1.1,40768000,10016000,0.0,0.0,0.01,0.01,5,20.3
1773223200,406.9,412.6,415.9,405.45,406.65,-0.25,40475000,6331000,0.0,0.0,-0.72,-0.72,-293,-4.4
1773309600,415.9,402.0,420.35,396.15,415.1,-0.8,41885000,11348000,0.0,0.0,3.48,3.48,1410,8.45
1773396000,405.6,413.1,416.2,398.95,402.15,-3.45,38963000,11529000,0.0,0.0,-6.98,-6.98,-2922,-12.95
1773655200,406.25,403.15,407.35,393.45,403.3,-2.95,38981000,6896000,0.0,0.0,0.05,0.05,18,1.15
1773741600,418.05,404.1,416.65,401.1,415.15,-2.9,39095000,7626000,0.0,0.0,0.29,0.29,114,11.85
