time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,1640.6,1667.7,1708.8,1645.4,1650.2,9.6,42000,46000,0.0,0.0,0.0,0.0,0,0.0
1770026400,1631.5,1631.0,1652.5,1631.0,1645.9,14.4,42000,24000,0.0,0.0,0.0,0.0,0,-4.3
1770112800,1679.4,1701.7,1718.0,1688.9,1695.0,15.6,46000,28000,0.0,0.0,9.52,9.52,4,49.1
1770199200,1719.1,1727.0,1754.0,1720.4,1732.0,12.9,56000,32000,0.0,0.0,21.74,21.74,10,37.0
1770285600,1709,1705.3,1752.0,1705.3,1727.2,18.2,49000,36000,0.0,0.0,-12.5,-12.5,-7,-4.8
1770372000,1735.2,1722.0,1752.6,1721.7,1747.3,12.1,106000,108000,0.0,0.0,116.33,116.33,57,20.1
1770631200,1750.3,1759.7,1772.0,1751.9,1761.1,10.8,141000,71000,0.0,0.0,33.02,33.02,35,13.8
1770717600,1758.7,1761.1,1792.2,1761.1,1772.2,13.5,145000,33000,0.0,0.0,2.84,2.84,4,11.1
1770804000,1784,1767.4,1813.0,1757.7,1793.8,9.8,154000,43000,0.0,0.0,6.21,6.21,9,21.6
1770890400,1779,1790.2,1806.0,1782.2,1789.3,10.3,159000,29000,0.0,0.0,3.25,3.25,5,-4.5
1770976800,1735.5,1765.4,1766.2,1732.3,1738.6,3.1,170000,77000,0.0,0.0,6.92,6.92,11,-50.7
1771236000,1773.4,1737.3,1784.0,1737.3,1782.4,9.0,201000,94000,0.0,0.0,18.24,18.24,31,43.8
1771322400,1767.2,1767.1,1778.6,1753.8,1776.3,9.1,256000,116000,0.0,0.0,27.36,27.36,55,-6.1
1771408800,1770.4,1768.8,1790.0,1746.8,1783.2,12.8,522000,624000,0.0,0.0,103.91,103.91,266,6.9
1771495200,1742.5,1774.1,1774.2,1741.0,1754.2,11.7,3241000,3453000,0.0,0.0,520.88,520.88,2719,-29.0
1771581600,1733.2,1731.0,1758.2,1731.0,1745.4,12.2,6575000,4613000,0.0,0.0,102.87,102.87,3334,-8.8
1772445600,1648.6,1628.8,1661.5,1628.8,1656.6,8.0,11253000,1662000,0.0,0.0,71.15,71.15,4678,-88.8
1772618400,1611,1635.0,1636.1,1596.0,1617.1,6.1,11346000,1151000,0.0,0.0,0.83,0.83,93,-39.5
1772704800,1633.6,1644.6,1655.0,1616.4,1637.3,3.7,11431000,3645000,0.0,0.0,0.75,0.75,85,20.2
1772791200,1603.9,1620.6,1631.3,1599.6,1606.2,2.3,11364000,793000,0.0,0.0,-0.59,-0.59,-67,-31.1
1773050400,1578.4,1572.6,1599.0,1562.4,1585.5,7.1,11542000,3353000,0.0,0.0,1.57,1.57,178,-20.7
1773136800,1605.5,1587.3,1623.0,1583.5,1614.0,8.5,11517000,796000,0.0,0.0,-0.22,-0.22,-25,28.5
1773223200,1575.7,1606.5,1621.0,1575.2,1580.2,4.5,11568000,947000,0.0,0.0,0.44,0.44,51,-33.8
1773309600,1560.2,1565.2,1581.4,1554.6,1562.0,1.8,11610000,1732000,0.0,0.0,0.36,0.36,42,-18.2
1773396000,1565.5,1552.0,1575.9,1532.8,1566.4,0.9,10917000,2924000,0.0,0.0,-5.97,-5.97,-693,4.4
1773655200,1552.3,1558.1,1565.9,1512.4,1552.5,0.2,10837000,2297000,0.0,0.0,-0.73,-0.73,-80,-13.9
1773741600,1595.8,1540.4,1603.3,1537.3,1596.7,0.9,11033000,1378000,0.0,0.0,1.81,1.81,196,44.2
