time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,18107,18956.0,19125.0,17972.0,18288.0,181.0,128000,174000,0.0,0.0,0.0,0.0,0,0.0
1770026400,18978,18461.0,19125.0,18391.0,19068.0,90.0,139000,182000,0.0,0.0,8.59,8.59,11,780.0
1770112800,19701,19927.0,20039.0,19520.0,19724.0,23.0,214000,290000,0.0,0.0,53.96,53.96,75,656.0
1770199200,19043,19676.0,19869.0,18860.0,19056.0,13.0,224000,186000,0.0,0.0,4.67,4.67,10,-668.0
1770285600,19199,19056.0,19460.0,18801.0,19337.0,138.0,224000,182000,0.0,0.0,0.0,0.0,0,281.0
1770372000,21871,20890.0,22235.0,20882.0,21988.0,117.0,259000,650000,0.0,0.0,15.62,15.62,35,2651.0
1770631200,22511,22101.0,22636.0,21935.0,22616.0,105.0,283000,267000,0.0,0.0,9.27,9.27,24,628.0
1770717600,22457,22749.0,22761.0,22400.0,22618.0,161.0,287000,98000,0.0,0.0,1.41,1.41,4,2.0
1770804000,22731,22494.0,22975.0,22493.0,22845.0,114.0,298000,93000,0.0,0.0,3.83,3.83,11,227.0
1770890400,22702,22844.0,23250.0,22696.0,22846.0,144.0,303000,128000,0.0,0.0,1.68,1.68,5,1.0
1770976800,22418,22647.0,22797.0,22362.0,22517.0,99.0,284000,161000,0.0,0.0,-6.27,-6.27,-19,-329.0
1771236000,22824,22617.0,22993.0,22553.0,22951.0,127.0,298000,136000,0.0,0.0,4.93,4.93,14,434.0
1771322400,22977,22919.0,23121.0,22790.0,23100.0,123.0,369000,233000,0.0,0.0,23.83,23.83,71,149.0
1771408800,23569,23205.0,23850.0,22981.0,23707.0,138.0,606000,694000,0.0,0.0,64.23,64.23,237,607.0
1771495200,22851,23658.0,23658.0,22916.0,23005.0,154.0,1848000,2378000,0.0,0.0,204.95,204.95,1242,-702.0
1771581600,23871,22850.0,24149.0,22850.0,24012.0,141.0,3109000,2612000,0.0,0.0,68.24,68.24,1261,1007.0
1772445600,25500,25400.0,25980.0,25025.0,25630.0,130.0,5098000,2071000,0.0,0.0,63.98,63.98,1989,1618.0
1772618400,24500,25305.0,25305.0,24320.0,24600.0,100.0,5121000,2682000,0.0,0.0,0.45,0.45,23,-1030.0
1772704800,25305,24480.0,25555.0,24480.0,25390.0,85.0,5353000,2409000,0.0,0.0,4.53,4.53,232,790.0
1772791200,25860,25530.0,26265.0,25395.0,25945.0,85.0,5635000,2299000,0.0,0.0,5.27,5.27,282,555.0
1773050400,25160,25005.0,25485.0,24510.0,25265.0,105.0,5488000,2583000,0.0,0.0,-2.61,-2.61,-147,-680.0
1773136800,25225,25645.0,26400.0,25015.0,25275.0,50.0,5727000,3476000,0.0,0.0,4.35,4.35,239,10.0
1773223200,24955,25285.0,25670.0,24855.0,25005.0,50.0,5736000,1577000,0.0,0.0,0.16,0.16,9,-270.0
1773309600,24880,24930.0,25375.0,24485.0,24980.0,100.0,5921000,2129000,0.0,0.0,3.23,3.23,185,-25.0
1773396000,24165,24875.0,25200.0,24140.0,24245.0,80.0,5808000,2028000,0.0,0.0,-1.91,-1.91,-113,-735.0
1773655200,24205,24260.0,24460.0,23475.0,24265.0,60.0,5856000,2137000,0.0,0.0,0.83,0.83,48,20.0
1773741600,24710,24730.0,24850.0,24250.0,24730.0,20.0,5853000,1308000,0.0,0.0,-0.05,-0.05,-3,465.0
