time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,691.45,741.75,741.8,665.0,691.65,0.2,367000,170000,0.0,0.0,0.0,0.0,0,0.0
1770026400,734.2,693.2,740.1,693.2,737.65,3.45,345000,250000,0.0,0.0,-5.99,-5.99,-22,46.0
1770112800,791.55,796.6,806.3,782.0,790.3,-1.25,280000,457000,0.0,0.0,-18.84,-18.84,-65,52.65
1770199200,781.7,782.45,790.15,767.0,782.45,0.75,278000,190000,0.0,0.0,-0.71,-0.71,-2,-7.85
1770285600,787.05,778.0,798.0,768.1,789.8,2.75,284000,267000,0.0,0.0,2.16,2.16,6,7.35
1770372000,795.55,790.15,802.55,783.7,797.45,1.9,278000,100000,0.0,0.0,-2.11,-2.11,-6,7.65
1770631200,806.4,805.95,817.75,797.1,813.0,6.6,309000,173000,0.0,0.0,11.15,11.15,31,15.55
1770717600,823.85,807.7,829.0,807.65,824.75,0.9,319000,132000,0.0,0.0,3.24,3.24,10,11.75
1770804000,780.65,832.45,834.05,769.35,778.9,-1.75,491000,652000,0.0,0.0,53.92,53.92,172,-45.85
1770890400,771.45,775.2,777.7,764.25,772.15,0.7,497000,198000,0.0,0.0,1.22,1.22,6,-6.75
1770976800,759.2,764.8,770.0,748.0,758.3,-0.9,646000,466000,0.0,0.0,29.98,29.98,149,-13.85
1771236000,762.95,754.85,769.0,754.85,764.5,1.55,710000,944000,0.0,0.0,9.91,9.91,64,6.2
1771322400,759.3,764.5,770.6,753.2,763.0,3.7,940000,385000,0.0,0.0,32.39,32.39,230,-1.5
1771408800,763.65,762.9,772.95,751.75,769.1,5.45,1626000,1312000,0.0,0.0,72.98,72.98,686,6.1
1771495200,752.8,769.15,770.7,746.0,756.25,3.45,3265000,3000000,0.0,0.0,100.8,100.8,1639,-12.85
1771581600,768.75,767.0,779.5,753.6,774.2,5.45,4796000,4388000,0.0,0.0,46.89,46.89,1531,17.95
1772445600,712.85,701.0,726.0,694.5,716.75,3.9,13399000,3925000,0.0,0.0,179.38,179.38,8603,-57.45
1772618400,706.2,707.0,711.8,692.85,709.6,3.4,13522000,2019000,0.0,0.0,0.92,0.92,123,-7.15
1772704800,720.1,712.85,724.7,700.0,719.85,-0.25,13369000,4302000,0.0,0.0,-1.13,-1.13,-153,10.25
1772791200,723.65,717.95,737.9,716.45,724.2,0.55,13274000,2441000,0.0,0.0,-0.71,-0.71,-95,4.35
1773050400,721.65,700.0,724.0,699.65,720.25,-1.4,13149000,2901000,0.0,0.0,-0.94,-0.94,-125,-3.95
1773136800,747.75,727.3,752.95,720.25,750.55,2.8,13274000,3183000,0.0,0.0,0.95,0.95,125,30.3
1773223200,788.1,753.1,790.0,753.1,769.4,-18.7,13800000,8936000,0.0,0.0,3.96,3.96,526,18.85
1773309600,789.35,771.0,790.75,758.85,776.35,-13.0,13742000,3552000,0.0,0.0,-0.42,-0.42,-58,6.95
1773396000,781.85,777.85,794.45,764.05,773.85,-8.0,14034000,5894000,0.0,0.0,2.12,2.12,292,-2.5
1773655200,795.75,771.9,792.9,758.25,787.1,-8.65,14491000,5691000,0.0,0.0,3.26,3.26,457,13.25
1773741600,811.2,792.4,829.0,785.6,807.25,-3.95,15439000,7137000,0.0,0.0,6.54,6.54,948,20.15
