time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,359.85,360.9,377.55,348.7,357.55,-2.3,3341000,2062000,0.0,0.0,0.0,0.0,0,0.0
1770026400,363.1,356.05,366.1,351.25,361.0,-2.1,3533000,1186000,0.0,0.0,5.75,5.75,192,3.45
1770112800,372.5,374.6,376.75,366.0,370.1,-2.4,3529000,678000,0.0,0.0,-0.11,-0.11,-4,9.1
1770199200,381.6,370.0,380.0,367.45,378.65,-2.95,3615000,1931000,0.0,0.0,2.44,2.44,86,8.55
1770285600,382.1,377.0,383.45,377.0,379.15,-2.95,3869000,1249000,0.0,0.0,7.03,7.03,254,0.5
1770372000,372.5,376.45,376.7,369.05,374.5,2.0,4283000,1440000,0.0,0.0,10.7,10.7,414,-4.65
1770631200,359.9,378.9,381.75,356.0,361.75,1.85,5460000,3204000,0.0,0.0,27.48,27.48,1177,-12.75
1770717600,355.8,360.25,361.9,355.7,357.4,1.6,6138000,1800000,0.0,0.0,12.42,12.42,678,-4.35
1770804000,353.95,357.45,359.55,355.05,356.4,2.45,6603000,1164000,0.0,0.0,7.58,7.58,465,-1.0
1770890400,350.7,354.95,358.8,351.0,352.85,2.15,7273000,1773000,0.0,0.0,10.15,10.15,670,-3.55
1770976800,346.9,348.6,349.8,341.25,348.25,1.35,7710000,1581000,0.0,0.0,6.01,6.01,437,-4.6
1771236000,353.5,346.4,356.4,345.0,356.1,2.6,8335000,1494000,0.0,0.0,8.11,8.11,625,7.85
1771322400,358.6,355.85,361.2,354.6,360.55,1.95,9579000,2837000,0.0,0.0,14.93,14.93,1244,4.45
1771408800,364.3,360.05,368.65,360.0,366.15,1.85,12947000,6521000,0.0,0.0,35.16,35.16,3368,5.6
1771495200,353.55,364.2,365.05,352.1,354.75,1.2,25449000,15803000,0.0,0.0,96.56,96.56,12502,-11.4
1771581600,354.2,354.25,357.4,352.75,354.35,0.15,32820000,12795000,0.0,0.0,28.96,28.96,7371,-0.4
1772445600,338.95,338.6,345.75,333.85,338.5,-0.45,52104000,6376000,0.0,0.0,58.76,58.76,19284,-15.85
1772618400,328.75,333.2,335.2,323.3,327.7,-1.05,52012000,9870000,0.0,0.0,-0.18,-0.18,-92,-10.8
1772704800,341.85,329.0,343.7,328.5,342.2,0.35,52105000,12758000,0.0,0.0,0.18,0.18,93,14.5
1772791200,339.15,341.4,350.8,336.55,337.95,-1.2,51663000,5420000,0.0,0.0,-0.85,-0.85,-442,-4.25
1773050400,324.4,331.8,331.8,319.4,323.6,-0.8,51706000,8037000,0.0,0.0,0.08,0.08,43,-14.35
1773136800,334.4,330.0,336.8,325.85,335.2,0.8,51256000,7471000,0.0,0.0,-0.87,-0.87,-450,11.6
1773223200,333.05,335.0,340.6,331.0,332.2,-0.85,50972000,5306000,0.0,0.0,-0.55,-0.55,-284,-3.0
1773309600,343.5,329.7,347.8,325.3,341.15,-2.35,50339000,9788000,0.0,0.0,-1.24,-1.24,-633,8.95
1773396000,331.5,338.0,342.45,328.1,329.05,-2.45,50278000,8397000,0.0,0.0,-0.12,-0.12,-61,-12.1
1773655200,332.45,330.9,333.0,323.5,330.2,-2.25,49511000,6961000,0.0,0.0,-1.53,-1.53,-767,1.15
1773741600,337.7,332.1,337.0,328.05,335.65,-2.05,50658000,8874000,0.0,0.0,2.32,2.32,1147,5.45
