time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,737.35,751.05,751.05,721.0,723.85,-13.5,1067000,459000,0.0,0.0,0.0,0.0,0,0.0
1770026400,735.8,729.95,729.95,707.65,724.2,-11.6,1368000,778000,0.0,0.0,28.21,28.21,301,0.35
1770112800,758.1,761.0,765.0,734.1,744.05,-14.05,1390000,431000,0.0,0.0,1.61,1.61,22,19.85
1770199200,749.7,741.8,752.0,741.1,744.7,-5.0,1470000,373000,0.0,0.0,5.76,5.76,80,0.65
1770285600,749.7,743.6,745.0,731.4,740.85,-8.85,1598000,681000,0.0,0.0,8.71,8.71,128,-3.85
1770372000,756.3,738.05,746.95,731.5,743.55,-12.75,1681000,380000,0.0,0.0,5.19,5.19,83,2.7
1770631200,765.55,750.2,759.0,745.1,753.05,-12.5,1877000,700000,0.0,0.0,11.66,11.66,196,9.5
1770717600,765.9,756.7,758.95,747.0,749.0,-16.9,2217000,641000,0.0,0.0,18.11,18.11,340,-4.05
1770804000,768.85,745.7,753.0,738.0,752.4,-16.45,2611000,847000,0.0,0.0,17.77,17.77,394,3.4
1770890400,772.8,751.75,759.55,742.65,756.45,-16.35,2758000,810000,0.0,0.0,5.63,5.63,147,4.05
1770976800,760.7,751.0,754.45,741.2,742.45,-18.25,2888000,563000,0.0,0.0,4.71,4.71,130,-14.0
1771236000,772.2,742.15,765.0,739.95,760.25,-11.95,3206000,997000,0.0,0.0,11.01,11.01,318,17.8
1771322400,776.6,758.85,768.25,753.3,757.1,-19.5,3625000,1276000,0.0,0.0,13.07,13.07,419,-3.15
1771408800,789.25,763.8,777.0,762.0,764.45,-24.8,5967000,4101000,0.0,0.0,64.61,64.61,2342,7.35
1771495200,798.2,762.55,765.6,755.0,760.0,-38.2,11410000,10505000,0.0,0.0,91.22,91.22,5443,-4.45
1771581600,785.6,768.4,773.75,762.4,768.7,-16.9,16734000,12793000,0.0,0.0,46.66,46.66,5324,8.7
1772445600,746.5,733.0,744.8,728.05,738.75,-7.75,27885000,4147000,0.0,0.0,66.64,66.64,11151,-29.95
1772618400,726.6,734.0,734.0,715.5,725.45,-1.15,27743000,4060000,0.0,0.0,-0.51,-0.51,-142,-13.3
1772704800,730.55,726.95,737.85,718.0,731.5,0.95,27132000,3473000,0.0,0.0,-2.2,-2.2,-611,6.05
1772791200,724.05,724.5,735.2,718.5,720.45,-3.6,26504000,3155000,0.0,0.0,-2.31,-2.31,-628,-11.05
1773050400,720.7,710.0,710.0,689.9,699.55,-21.15,27557000,4707000,0.0,0.0,3.97,3.97,1053,-20.9
1773136800,716.1,716.0,717.35,703.05,713.0,-3.1,27613000,2811000,0.0,0.0,0.2,0.2,56,13.45
1773223200,715,716.1,716.5,690.05,693.2,-21.8,28101000,2720000,0.0,0.0,1.77,1.77,488,-19.8
1773309600,710.25,685.2,696.5,682.65,685.7,-24.55,28490000,3021000,0.0,0.0,1.38,1.38,389,-7.5
1773396000,704.9,683.0,688.35,670.0,675.05,-29.85,29044000,3496000,0.0,0.0,1.94,1.94,554,-10.65
1773655200,695.55,674.0,691.85,671.0,688.0,-7.55,29173000,3607000,0.0,0.0,0.44,0.44,129,12.95
1773741600,693.85,692.8,694.9,670.6,675.55,-18.3,29710000,3133000,0.0,0.0,1.84,1.84,537,-12.45
