time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,997.6,1027.8,1036.0,981.5,1005.0,7.4,800000,504000,0.0,0.0,0.0,0.0,0,0.0
1770026400,962.1,988.1,990.7,950.0,972.6,10.5,1016000,982000,0.0,0.0,27.0,27.0,216,-32.4
1770112800,1000.4,1017.8,1048.4,996.0,1009.3,8.9,986000,392000,0.0,0.0,-2.95,-2.95,-30,36.7
1770199200,998.8,1003.8,1018.0,1003.7,1008.1,9.3,1076000,196000,0.0,0.0,9.13,9.13,90,-1.2
1770285600,992,1008.1,1008.1,981.7,1000.8,8.8,1151000,422000,0.0,0.0,6.97,6.97,75,-7.3
1770372000,1002.5,1001.3,1011.0,981.0,1009.3,6.8,1166000,335000,0.0,0.0,1.3,1.3,15,8.5
1770631200,1062.7,1014.4,1072.0,1011.9,1068.8,6.1,1227000,1065000,0.0,0.0,5.23,5.23,61,59.5
1770717600,1048.6,1068.2,1071.8,1045.4,1055.5,6.9,1383000,657000,0.0,0.0,12.71,12.71,156,-13.3
1770804000,1056.8,1056.7,1066.5,1049.3,1064.6,7.8,1358000,449000,0.0,0.0,-1.81,-1.81,-25,9.1
1770890400,1082.8,1062.6,1093.9,1051.5,1089.4,6.6,1462000,833000,0.0,0.0,7.66,7.66,104,24.8
1770976800,1065.8,1083.1,1092.0,1067.3,1071.4,5.6,1549000,632000,0.0,0.0,5.95,5.95,87,-18.0
1771236000,1085.4,1065.0,1092.7,1059.5,1091.4,6.0,1772000,738000,0.0,0.0,14.4,14.4,223,20.0
1771322400,1075,1092.5,1092.5,1066.6,1081.5,6.5,2099000,1354000,0.0,0.0,18.45,18.45,327,-9.9
1771408800,1076.2,1081.2,1092.9,1079.2,1084.2,8.0,4475000,2877000,0.0,0.0,113.2,113.2,2376,2.7
1771495200,1054.7,1085.0,1085.0,1055.3,1059.9,5.2,14343000,11435000,0.0,0.0,220.51,220.51,9868,-24.3
1771581600,1059.3,1063.3,1071.1,1050.7,1067.0,7.7,25329000,12685000,0.0,0.0,76.59,76.59,10986,7.1
1772445600,1052.5,1050.0,1077.3,1044.4,1057.3,4.8,43203000,7148000,0.0,0.0,70.57,70.57,17874,-9.7
1772618400,1010,1038.2,1043.3,992.2,1012.7,2.7,41756000,11346000,0.0,0.0,-3.35,-3.35,-1447,-44.6
1772704800,1039.5,1025.2,1049.0,1021.0,1041.2,1.7,41382000,8358000,0.0,0.0,-0.9,-0.9,-374,28.5
1772791200,1007.5,1045.1,1055.0,1006.0,1011.2,3.7,42210000,10832000,0.0,0.0,2.0,2.0,828,-30.0
1773050400,987.2,957.0,997.2,936.9,991.6,4.4,43631000,13040000,0.0,0.0,3.37,3.37,1421,-19.6
1773136800,1062.9,1017.9,1071.0,1010.7,1066.3,3.4,46353000,23115000,0.0,0.0,6.24,6.24,2722,74.7
1773223200,1031.7,1067.9,1082.0,1032.9,1035.9,4.2,46074000,10776000,0.0,0.0,-0.6,-0.6,-279,-30.4
1773309600,1031.7,1018.0,1048.7,1009.7,1035.5,3.8,46566000,9506000,0.0,0.0,1.07,1.07,492,-0.4
1773396000,1003.6,1022.2,1028.0,997.7,1006.6,3.0,47287000,6734000,0.0,0.0,1.55,1.55,721,-28.9
1773655200,992,991.4,1005.8,972.4,994.0,2.0,47233000,12106000,0.0,0.0,-0.11,-0.11,-54,-12.6
1773741600,1004.6,999.9,1015.0,985.1,1006.7,2.1,46899000,5869000,0.0,0.0,-0.71,-0.71,-334,12.7
