time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,489.75,494.5,502.9,485.0,492.6,2.85,94000,38000,0.0,0.0,0.0,0.0,0,0.0
1770026400,499.5,490.6,503.5,486.75,502.8,3.3,95000,43000,0.0,0.0,1.06,1.06,1,10.2
1770112800,530.2,553.05,553.05,527.75,534.5,4.3,135000,305000,0.0,0.0,42.11,42.11,40,31.7
1770199200,532.85,535.0,540.6,532.4,537.4,4.55,132000,110000,0.0,0.0,-2.22,-2.22,-3,2.9
1770285600,524.25,533.2,533.35,527.0,529.9,5.65,137000,66000,0.0,0.0,3.79,3.79,5,-7.5
1770372000,513.5,524.3,524.3,511.0,517.65,4.15,151000,90000,0.0,0.0,10.22,10.22,14,-12.25
1770631200,530.6,533.85,540.0,529.55,535.5,4.9,177000,190000,0.0,0.0,17.22,17.22,26,17.85
1770717600,531.1,532.3,541.25,530.95,534.8,3.7,193000,128000,0.0,0.0,9.04,9.04,16,-0.7
1770804000,538,537.05,547.0,534.75,542.6,4.6,171000,146000,0.0,0.0,-11.4,-11.4,-22,7.8
1770890400,532.8,540.1,542.45,532.0,536.3,3.5,183000,91000,0.0,0.0,7.02,7.02,12,-6.3
1770976800,527.95,534.55,534.65,525.75,532.75,4.8,188000,67000,0.0,0.0,2.73,2.73,5,-3.55
1771236000,525.1,529.85,532.25,526.2,529.9,4.8,258000,137000,0.0,0.0,37.23,37.23,70,-2.85
1771322400,529.75,526.3,536.95,526.25,533.85,4.1,383000,341000,0.0,0.0,48.45,48.45,125,3.95
1771408800,531.8,531.9,536.9,528.2,535.8,4.0,773000,657000,0.0,0.0,101.83,101.83,390,1.95
1771495200,528.05,536.85,548.9,528.2,530.2,2.15,4231000,4882000,0.0,0.0,447.35,447.35,3458,-5.6
1771581600,532.1,529.05,538.0,527.0,535.55,3.45,7241000,4438000,0.0,0.0,71.14,71.14,3010,5.35
1772445600,517.25,519.3,531.5,508.05,517.8,0.55,10294000,1684000,0.0,0.0,42.16,42.16,3053,-17.75
1772618400,501.4,505.65,508.7,498.85,502.35,0.95,10026000,1380000,0.0,0.0,-2.6,-2.6,-268,-15.45
1772704800,510.95,505.8,515.95,502.85,512.65,1.7,9910000,869000,0.0,0.0,-1.16,-1.16,-116,10.3
1772791200,514.95,513.5,523.25,512.6,516.15,1.2,9858000,957000,0.0,0.0,-0.52,-0.52,-52,3.5
1773050400,500.7,502.65,504.1,493.75,502.75,2.05,9808000,1481000,0.0,0.0,-0.51,-0.51,-50,-13.4
1773136800,511.75,506.15,518.9,500.7,514.85,3.1,9963000,2986000,0.0,0.0,1.58,1.58,155,12.1
1773223200,516.35,524.3,538.4,515.95,517.4,1.05,9850000,3623000,0.0,0.0,-1.13,-1.13,-113,2.55
1773309600,510.3,513.0,514.9,503.05,511.35,1.05,9863000,1413000,0.0,0.0,0.13,0.13,13,-6.05
1773396000,486.05,510.8,511.9,484.0,486.05,0.0,9748000,2398000,0.0,0.0,-1.17,-1.17,-115,-25.3
1773655200,489.2,485.6,494.7,476.0,489.35,0.15,9521000,1617000,0.0,0.0,-2.33,-2.33,-227,3.3
1773741600,502.1,493.65,506.05,488.65,503.45,1.35,9588000,1775000,0.0,0.0,0.7,0.7,67,14.1
