time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,1297.5,1393.2,1393.2,1281.2,1293.3,-4.2,82000,63000,0.0,0.0,0.0,0.0,0,0.0
1770026400,1329.6,1298.1,1332.0,1298.1,1330.0,0.4,83000,28000,0.0,0.0,1.22,1.22,1,36.7
1770112800,1370.3,1373.6,1373.6,1338.0,1362.9,-7.4,84000,45000,0.0,0.0,1.2,1.2,1,32.9
1770199200,1407.5,1374.6,1403.9,1374.6,1400.4,-7.1,88000,65000,0.0,0.0,4.76,4.76,4,37.5
1770285600,1417.6,1397.3,1419.9,1379.8,1416.2,-1.4,96000,50000,0.0,0.0,9.09,9.09,8,15.8
1770372000,1429,1402.6,1422.4,1392.5,1419.4,-9.6,96000,45000,0.0,0.0,0.0,0.0,0,3.2
1770631200,1427.2,1420.7,1426.5,1404.0,1418.4,-8.8,106000,52000,0.0,0.0,10.42,10.42,10,-1.0
1770717600,1483,1421.6,1499.6,1420.9,1479.3,-3.7,129000,242000,0.0,0.0,21.7,21.7,23,60.9
1770804000,1428.6,1470.0,1475.0,1371.7,1417.3,-11.3,351000,722000,0.0,0.0,172.09,172.09,222,-62.0
1770890400,1453.7,1417.3,1443.9,1413.7,1440.8,-12.9,390000,305000,0.0,0.0,11.11,11.11,39,23.5
1770976800,1462.6,1418.0,1458.5,1412.3,1446.9,-15.7,390000,133000,0.0,0.0,0.0,0.0,0,6.1
1771236000,1471.4,1448.0,1481.0,1432.7,1476.3,4.9,496000,399000,0.0,0.0,27.18,27.18,106,29.4
1771322400,1486.4,1474.1,1493.1,1465.1,1486.1,-0.3,816000,638000,0.0,0.0,64.52,64.52,320,9.8
1771408800,1527.9,1487.1,1537.9,1487.1,1524.1,-3.8,1885000,2160000,0.0,0.0,131.0,131.0,1069,38.0
1771495200,1492.6,1525.4,1541.0,1489.3,1494.7,2.1,4213000,4277000,0.0,0.0,123.5,123.5,2328,-29.4
1771581600,1528.6,1500.6,1547.6,1495.1,1539.2,10.6,7286000,5604000,0.0,0.0,72.94,72.94,3073,44.5
1772445600,1554.9,1526.5,1579.1,1521.4,1561.9,7.0,8535000,5021000,0.0,0.0,17.14,17.14,1249,22.7
1772618400,1475.9,1521.0,1523.7,1458.0,1465.7,-10.2,8536000,5509000,0.0,0.0,0.01,0.01,1,-96.2
1772704800,1503.9,1470.0,1514.9,1470.0,1507.3,3.4,8679000,2514000,0.0,0.0,1.68,1.68,143,41.6
1772791200,1481.3,1500.5,1507.9,1480.0,1484.5,3.2,8686000,2486000,0.0,0.0,0.08,0.08,7,-22.8
1773050400,1428.9,1425.1,1458.1,1382.4,1433.7,4.8,8381000,2119000,0.0,0.0,-3.51,-3.51,-305,-50.8
1773136800,1451.5,1450.0,1473.8,1442.7,1460.1,8.6,8140000,2157000,0.0,0.0,-2.88,-2.88,-241,26.4
1773223200,1439,1462.0,1482.6,1439.4,1443.3,4.3,8081000,1337000,0.0,0.0,-0.72,-0.72,-59,-16.8
1773309600,1506,1449.8,1521.0,1434.4,1503.2,-2.8,8251000,2940000,0.0,0.0,2.1,2.1,170,59.9
1773396000,1461.3,1500.0,1520.5,1453.9,1464.9,3.6,8259000,1485000,0.0,0.0,0.1,0.1,8,-38.3
1773655200,1445.8,1433.1,1479.0,1429.0,1451.2,5.4,8285000,1839000,0.0,0.0,0.31,0.31,26,-13.7
1773741600,1443.4,1450.0,1482.7,1435.7,1446.4,3.0,8088000,1852000,0.0,0.0,-2.38,-2.38,-197,-4.8
