time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1772445600,5983,5957.5,6097.0,5946.5,6025.5,42.5,28000,16000,0.0,0.0,0.0,0.0,0,0.0
1772618400,5830.5,5895.0,5928.0,5860.0,5873.0,42.5,32000,18000,0.0,0.0,14.29,14.29,4,-152.5
1772704800,5929,5940.0,5940.0,5900.0,5900.0,-29.0,34000,2000,0.0,0.0,6.25,6.25,2,27.0
1772791200,6062,6000.0,6135.5,6000.0,6085.0,23.0,35000,24000,0.0,0.0,2.94,2.94,1,185.0
1773050400,5982.5,5920.0,6022.5,5903.0,6022.5,40.0,39000,11000,0.0,0.0,11.43,11.43,4,-62.5
1773136800,6224.5,6208.0,6294.0,6175.5,6266.5,42.0,40000,36000,0.0,0.0,2.56,2.56,1,244.0
1773223200,6280,6270.0,6347.5,6266.0,6289.0,9.0,53000,60000,0.0,0.0,32.5,32.5,13,22.5
1773309600,6409,6182.5,6428.0,6175.0,6414.5,5.5,54000,71000,0.0,0.0,1.89,1.89,1,125.5
1773396000,6392.5,6495.0,6557.5,6323.0,6363.5,-29.0,114000,148000,0.0,0.0,111.11,111.11,60,-51.0
1773655200,6218,6270.0,6283.0,6126.5,6203.0,-15.0,128000,50000,0.0,0.0,12.28,12.28,14,-160.5
1773741600,6310.5,6215.0,6297.0,6189.5,6297.0,-13.5,128000,8000,0.0,0.0,0.0,0.0,0,94.0
