time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1772445600,2124.6,2144.2,2145.0,2078.0,2129.6,5.0,3292000,2026000,0.0,0.0,0.0,0.0,0,0.0
1772618400,2076.5,2081.0,2090.7,2050.0,2080.6,4.1,3313000,2105000,0.0,0.0,0.64,0.64,21,-49.0
1772704800,2089.2,2100.0,2114.0,2049.0,2106.9,17.7,3361000,251000,0.0,0.0,1.45,1.45,48,26.3
1772791200,2039.9,2089.5,2100.0,2049.3,2051.8,11.9,3385000,241000,0.0,0.0,0.71,0.71,24,-55.1
1773050400,1999.2,1998.6,2014.0,1958.1,2009.3,10.1,3412000,210000,0.0,0.0,0.8,0.8,27,-42.5
1773136800,1996.5,2029.1,2031.7,1996.0,2019.9,23.4,3436000,65000,0.0,0.0,0.7,0.7,24,10.6
1773223200,1974.7,2025.0,2045.0,1983.7,1988.6,13.9,3468000,64000,0.0,0.0,0.93,0.93,32,-31.3
1773309600,2002,1968.0,2036.9,1967.7,2011.0,9.0,3462000,153000,0.0,0.0,-0.17,-0.17,-6,22.4
1773396000,1961.1,2010.4,2010.4,1956.6,1971.0,9.9,3481000,205000,0.0,0.0,0.55,0.55,19,-40.0
1773655200,1978,1985.1,1993.0,1959.1,1973.7,-4.3,3491000,87000,0.0,0.0,0.29,0.29,10,2.7
1773741600,1975.4,1978.5,1996.0,1945.0,1987.7,12.3,3516000,65000,0.0,0.0,0.72,0.72,25,14.0
