time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1772445600,209.01,207.59,209.97,204.0,206.66,-2.35,39000,26000,0.0,0.0,0.0,0.0,0,0.0
1772618400,200.46,200.0,200.0,194.0,196.81,-3.65,62000,55000,0.0,0.0,58.97,58.97,23,-9.85
1772704800,203.04,199.0,201.0,195.7,201.0,-2.04,64000,48000,0.0,0.0,3.23,3.23,2,4.19
1772791200,194.67,199.0,199.5,193.6,193.92,-0.75,105000,80000,0.0,0.0,64.06,64.06,41,-7.08
1773050400,186.94,186.0,186.0,181.5,185.0,-1.94,114000,42000,0.0,0.0,8.57,8.57,9,-8.92
1773136800,193.56,190.5,192.5,189.5,191.64,-1.92,120000,71000,0.0,0.0,5.26,5.26,6,6.64
1773223200,184.66,192.09,192.99,183.66,184.69,0.03,185000,133000,0.0,0.0,54.17,54.17,65,-6.95
1773309600,178.47,181.0,181.0,176.86,178.24,-0.23,246000,122000,0.0,0.0,32.97,32.97,61,-6.45
1773396000,170.65,175.01,175.15,169.21,170.18,-0.47,290000,130000,0.0,0.0,17.89,17.89,44,-8.06
1773655200,172.77,169.49,174.0,168.29,171.48,-1.29,284000,180000,0.0,0.0,-2.07,-2.07,-6,1.3
1773741600,176.11,172.03,174.93,171.84,174.55,-1.56,308000,76000,0.0,0.0,8.45,8.45,24,3.07
