time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1772445600,707.3,725.0,730.15,715.5,718.95,11.65,23000,6000,0.0,0.0,0.0,0.0,0,0.0
1772618400,684.6,715.55,715.55,693.4,695.9,11.3,52000,35000,0.0,0.0,126.09,126.09,29,-23.05
1772704800,684.3,696.0,696.0,681.7,686.1,1.8,61000,32000,0.0,0.0,17.31,17.31,9,-9.8
1772791200,668.55,684.9,684.9,677.3,678.65,10.1,61000,8000,0.0,0.0,0.0,0.0,0,-7.45
1773050400,653.75,669.0,669.0,663.7,665.0,11.25,66000,7000,0.0,0.0,8.2,8.2,5,-13.65
1773136800,656.1,668.0,669.2,664.9,666.0,9.9,78000,14000,0.0,0.0,18.18,18.18,12,1.0
1773223200,647.9,663.75,663.75,655.65,656.5,8.6,84000,15000,0.0,0.0,7.69,7.69,6,-9.5
1773309600,645.7,647.5,656.3,647.5,653.65,7.95,86000,7000,0.0,0.0,2.38,2.38,2,-2.85
1773396000,625.75,649.75,649.75,637.7,638.2,12.45,88000,14000,0.0,0.0,2.33,2.33,2,-15.45
1773655200,626,634.85,635.1,628.95,634.35,8.35,89000,7000,0.0,0.0,1.14,1.14,1,-3.85
1773741600,642.3,633.85,650.0,633.85,650.0,7.7,90000,7000,0.0,0.0,1.12,1.12,1,15.65
