time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1772445600,121.52,124.8,125.4,121.64,122.98,1.46,70000,45000,0.0,0.0,0.0,0.0,0,0.0
1772618400,118.59,121.0,121.0,119.1,119.84,1.25,99000,63000,0.0,0.0,41.43,41.43,29,-3.14
1772704800,121.63,121.5,123.1,120.43,122.64,1.01,102000,66000,0.0,0.0,3.03,3.03,3,2.8
1772791200,121.76,122.6,124.56,122.35,122.72,0.96,122000,77000,0.0,0.0,19.61,19.61,20,0.08
1773050400,120.26,120.3,121.95,118.77,121.68,1.42,119000,56000,0.0,0.0,-2.46,-2.46,-3,-1.04
1773136800,121.13,122.6,123.3,121.06,122.51,1.38,123000,102000,0.0,0.0,3.36,3.36,4,0.83
1773223200,122.85,124.9,127.3,123.4,123.91,1.06,124000,67000,0.0,0.0,0.81,0.81,1,1.4
1773309600,122.76,122.27,125.4,121.1,123.59,0.83,138000,63000,0.0,0.0,11.29,11.29,14,-0.32
1773396000,120.25,123.59,125.43,121.0,121.22,0.97,148000,60000,0.0,0.0,7.25,7.25,10,-2.37
1773655200,118.8,121.62,121.62,118.35,120.0,1.2,1116000,1036000,0.0,0.0,654.05,654.05,968,-1.22
1773741600,119.88,120.2,121.9,120.2,121.14,1.26,1125000,48000,0.0,0.0,0.81,0.81,9,1.14
