time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1772445600,4520.4,4650.0,4728.2,4575.0,4598.0,77.6,2205000,2256000,0.0,0.0,0.0,0.0,0,0.0
1772618400,4392.9,4457.9,4492.1,4370.0,4450.5,57.6,2269000,205000,0.0,0.0,2.9,2.9,64,-147.5
1772704800,4512.8,4432.5,4600.0,4388.5,4575.2,62.4,2289000,682000,0.0,0.0,0.88,0.88,20,124.7
1772791200,4404.1,4456.2,4510.1,4430.1,4448.1,44.0,2307000,124000,0.0,0.0,0.79,0.79,18,-127.1
1773050400,4236.7,4242.9,4329.0,4110.0,4302.0,65.3,2449000,1529000,0.0,0.0,6.16,6.16,142,-146.1
1773136800,4380.4,4497.7,4497.7,4398.4,4441.3,60.9,2586000,1711000,0.0,0.0,5.59,5.59,137,139.3
1773223200,4350.7,4441.3,4563.0,4394.0,4404.3,53.6,2582000,553000,0.0,0.0,-0.15,-0.15,-4,-37.0
1773309600,4251.7,4297.0,4351.4,4260.0,4310.4,58.7,2608000,1227000,0.0,0.0,1.01,1.01,26,-93.9
1773396000,4158.2,4246.5,4246.5,4179.1,4210.8,52.6,2484000,967000,0.0,0.0,-4.75,-4.75,-124,-99.6
1773655200,4222.1,4191.3,4303.0,4190.0,4261.6,39.5,2588000,281000,0.0,0.0,4.19,4.19,104,50.8
1773741600,4287.9,4270.6,4335.0,4247.5,4327.6,39.7,2587000,74000,0.0,0.0,-0.04,-0.04,-1,66.0
