time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1772445600,1083.6,1095.0,1097.2,1095.0,1097.2,13.6,16000,5000,0.0,0.0,0.0,0.0,0,0.0
1772618400,1053.7,1067.6,1070.2,1060.0,1069.5,15.8,36000,30000,0.0,0.0,125.0,125.0,20,-27.7
1772704800,1058.2,1057.0,1070.1,1057.0,1065.3,7.1,37000,9000,0.0,0.0,2.78,2.78,1,-4.2
1772791200,1042,1059.0,1059.0,1050.0,1056.5,14.5,41000,6000,0.0,0.0,10.81,10.81,4,-8.8
1773050400,1041.5,1033.0,1054.9,1032.0,1054.9,13.4,41000,7000,0.0,0.0,0.0,0.0,0,-1.6
1773136800,1043.1,1052.2,1057.9,1052.2,1057.9,14.8,42000,2000,0.0,0.0,2.44,2.44,1,3.0
1773223200,1032.2,1042.0,1044.1,1042.0,1044.1,11.9,42000,2000,0.0,0.0,0.0,0.0,0,-13.8
1773309600,1020.4,1022.1,1041.0,1018.8,1034.3,13.9,50000,11000,0.0,0.0,19.05,19.05,8,-9.8
1773396000,990,999.8,1006.7,999.8,1003.7,13.7,40000,15000,0.0,0.0,-20.0,-20.0,-10,-30.6
1773655200,970.6,994.6,999.0,981.0,983.4,12.8,48000,16000,0.0,0.0,20.0,20.0,8,-20.3
1773741600,976.4,985.2,990.0,985.2,990.0,13.6,50000,4000,0.0,0.0,4.17,4.17,2,6.6
