time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1772445600,362.85,354.0,368.0,354.0,367.7,4.85,685000,47000,0.0,0.0,0.0,0.0,0,0.0
1772618400,373.5,372.0,380.0,363.4,377.25,3.75,702000,87000,0.0,0.0,2.48,2.48,17,9.55
1772704800,395.95,379.6,408.0,379.6,401.05,5.1,1233000,717000,0.0,0.0,75.64,75.64,531,23.8
1772791200,396.15,392.0,404.4,391.5,400.25,4.1,1239000,67000,0.0,0.0,0.49,0.49,6,-0.8
1773050400,388.1,398.0,400.35,389.25,393.15,5.05,1235000,109000,0.0,0.0,-0.32,-0.32,-4,-7.1
1773136800,388.75,397.0,397.0,387.0,394.3,5.55,1474000,1897000,0.0,0.0,19.35,19.35,239,1.15
1773223200,397.75,398.2,406.35,398.2,400.7,2.95,1488000,177000,0.0,0.0,0.95,0.95,14,6.4
1773309600,409.15,395.9,412.5,390.0,411.25,2.1,1495000,89000,0.0,0.0,0.47,0.47,7,10.55
1773396000,387.35,412.2,413.85,385.5,390.2,2.85,1506000,117000,0.0,0.0,0.74,0.74,11,-21.05
1773655200,372.25,389.5,391.55,373.0,376.55,4.3,1500000,95000,0.0,0.0,-0.4,-0.4,-6,-13.65
1773741600,395.15,380.0,397.7,376.25,397.2,2.05,1520000,88000,0.0,0.0,1.33,1.33,20,20.65
