time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1772445600,313.15,322.5,322.5,314.0,315.2,2.05,17000,10000,0.0,0.0,0.0,0.0,0,0.0
1772618400,306.05,313.4,313.8,309.75,310.3,4.25,31000,24000,0.0,0.0,82.35,82.35,14,-4.9
1772704800,310.1,317.15,317.15,315.2,316.0,5.9,27000,7000,0.0,0.0,-12.9,-12.9,-4,5.7
1772791200,303.8,309.9,309.9,308.0,308.0,4.2,30000,4000,0.0,0.0,11.11,11.11,3,-8.0
1773050400,297.9,297.0,300.8,295.1,300.8,2.9,31000,26000,0.0,0.0,3.33,3.33,1,-7.2
1773223200,297.7,306.0,306.85,302.3,302.3,4.6,36000,7000,0.0,0.0,16.13,16.13,5,1.5
1773309600,299.8,299.8,305.0,299.8,303.5,3.7,40000,13000,0.0,0.0,11.11,11.11,4,1.2
1773396000,294.75,301.55,301.55,298.25,299.65,4.9,42000,27000,0.0,0.0,5.0,5.0,2,-3.85
1773655200,296.05,298.25,301.35,294.3,298.5,2.45,46000,12000,0.0,0.0,9.52,9.52,4,-1.15
1773741600,297.7,298.5,300.75,297.0,300.75,3.05,48000,16000,0.0,0.0,4.35,4.35,2,2.25
