time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1772445600,3341.6,3396.0,3406.7,3343.3,3365.2,23.6,16000,12000,0.0,0.0,0.0,0.0,0,0.0
1772618400,3161,3284.7,3284.7,3193.2,3197.9,36.9,24000,16000,0.0,0.0,50.0,50.0,8,-167.3
1772704800,3215.7,3228.0,3264.0,3220.0,3263.0,47.3,26000,15000,0.0,0.0,8.33,8.33,2,65.1
1772791200,3268.9,3313.0,3342.0,3282.0,3286.5,17.6,26000,17000,0.0,0.0,0.0,0.0,0,23.5
1773050400,3228.9,3185.0,3259.1,3185.0,3258.1,29.2,29000,14000,0.0,0.0,11.54,11.54,3,-28.4
1773136800,3274.9,3321.0,3329.7,3287.3,3315.5,40.6,32000,9000,0.0,0.0,10.34,10.34,3,57.4
1773223200,3272.2,3352.4,3361.0,3287.0,3290.0,17.8,30000,21000,0.0,0.0,-6.25,-6.25,-2,-25.5
1773309600,3324.7,3265.0,3349.0,3265.0,3338.3,13.6,30000,7000,0.0,0.0,0.0,0.0,0,48.3
1773396000,3207.6,3340.0,3340.0,3231.9,3231.9,24.3,28000,12000,0.0,0.0,-6.67,-6.67,-2,-106.4
1773655200,3149.6,3213.1,3230.0,3125.0,3184.0,34.4,36000,30000,0.0,0.0,28.57,28.57,8,-47.9
1773741600,3173.5,3150.0,3199.0,3150.0,3194.4,20.9,40000,12000,0.0,0.0,11.11,11.11,4,10.4
