time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1772445600,4449.3,4454.0,4550.0,4395.0,4438.0,-11.3,25000,18000,0.0,0.0,0.0,0.0,0,0.0
1772618400,4357.7,4390.0,4430.0,4351.0,4375.0,17.3,31000,16000,0.0,0.0,24.0,24.0,6,-63.0
1772704800,4400,4379.7,4379.7,4331.9,4365.8,-34.2,33000,18000,0.0,0.0,6.45,6.45,2,-9.2
1772791200,4330.2,4459.1,4460.0,4330.0,4328.8,-1.4,40000,22000,0.0,0.0,21.21,21.21,7,-37.0
1773050400,4303.7,4249.9,4296.7,4221.0,4296.7,-7.0,49000,30000,0.0,0.0,22.5,22.5,9,-32.1
1773136800,4356.6,4296.7,4312.0,4243.6,4312.0,-44.6,56000,23000,0.0,0.0,14.29,14.29,7,15.3
1773223200,4343.4,4378.0,4378.1,4318.6,4320.5,-22.9,65000,20000,0.0,0.0,16.07,16.07,9,8.5
1773309600,4330,4264.8,4347.9,4225.0,4294.1,-35.9,70000,18000,0.0,0.0,7.69,7.69,5,-26.4
1773396000,4255,4254.6,4266.5,4215.9,4225.1,-29.9,86000,30000,0.0,0.0,22.86,22.86,16,-69.0
1773655200,4202.2,4202.0,4214.9,4096.8,4181.7,-20.5,108000,58000,0.0,0.0,25.58,25.58,22,-43.4
1773741600,4103.6,4156.3,4180.0,4000.0,4059.4,-44.2,146000,74000,0.0,0.0,35.19,35.19,38,-122.3
