time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1772445600,4270.3,4380.0,4406.0,4274.0,4334.6,64.3,69000,23000,0.0,0.0,0.0,0.0,0,0.0
1772618400,4204.4,4248.9,4287.0,4167.0,4269.3,64.9,79000,67000,0.0,0.0,14.49,14.49,10,-65.3
1772704800,4275.2,4270.0,4360.0,4262.0,4338.1,62.9,85000,22000,0.0,0.0,7.59,7.59,6,68.8
1772791200,4244.6,4312.3,4358.0,4300.0,4300.0,55.4,88000,9000,0.0,0.0,3.53,3.53,3,-38.1
1773050400,4159.2,4218.0,4234.7,4178.9,4216.6,57.4,92000,37000,0.0,0.0,4.55,4.55,4,-83.4
1773136800,4220.1,4287.5,4292.7,4246.9,4284.5,64.4,125000,50000,0.0,0.0,35.87,35.87,33,67.9
1773223200,4140.3,4284.5,4284.5,4190.0,4190.0,49.7,125000,14000,0.0,0.0,0.0,0.0,0,-94.5
1773309600,4129.6,4150.0,4226.8,4095.0,4182.0,52.4,136000,28000,0.0,0.0,8.8,8.8,11,-8.0
1773396000,4073.2,4182.0,4183.9,4108.5,4127.4,54.2,141000,57000,0.0,0.0,3.68,3.68,5,-54.6
1773655200,4090.8,4126.0,4163.2,4065.0,4132.8,42.0,142000,36000,0.0,0.0,0.71,0.71,1,5.4
1773741600,4090.5,4126.1,4163.0,4110.0,4148.0,57.5,147000,14000,0.0,0.0,3.52,3.52,5,15.2
