time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1772445600,445.3,447.3,457.6,447.3,452.5,7.2,40000,27000,0.0,0.0,0.0,0.0,0,0.0
1772618400,429.75,441.0,443.2,433.5,436.05,6.3,70000,46000,0.0,0.0,75.0,75.0,30,-16.45
1772704800,445.75,437.15,453.0,436.6,451.55,5.8,67000,42000,0.0,0.0,-4.29,-4.29,-3,15.5
1772791200,447.65,451.05,461.1,451.05,453.55,5.9,65000,20000,0.0,0.0,-2.99,-2.99,-2,2.0
1773050400,437.75,439.85,445.55,439.0,444.75,7.0,74000,66000,0.0,0.0,13.85,13.85,9,-8.8
1773136800,436.5,447.5,448.0,439.85,444.4,7.9,96000,55000,0.0,0.0,29.73,29.73,22,-0.35
1773223200,431.25,443.85,448.2,435.05,436.15,4.9,133000,101000,0.0,0.0,38.54,38.54,37,-8.25
1773309600,411.05,436.15,436.15,416.25,416.7,5.65,249000,225000,0.0,0.0,87.22,87.22,116,-19.45
1773396000,401.3,416.7,424.0,406.0,406.65,5.35,326000,226000,0.0,0.0,30.92,30.92,77,-10.05
1773655200,407.15,408.35,420.1,407.7,412.9,5.75,330000,92000,0.0,0.0,1.23,1.23,4,6.25
1773741600,406.35,414.75,414.75,407.7,412.25,5.9,436000,213000,0.0,0.0,32.12,32.12,106,-0.65
